Number,Name,ID
3479,TFC3,YAL001C
1642,VPS8,YAL002W
1977,ERP2,YAL007C
3464,FUN14,YAL008W
4423,SPO7,YAL009W
1199,MDM10,YAL010C
4060,SWC3,YAL011W
1756,DEP1,YAL013W
3203,SYN8,YAL014C
3496,PSK1,YAL017W
1061,LDS1,YAL018C
606,FUN30,YAL019W
853,ATS1,YAL020C
3877,CCR4,YAL021C
1229,FUN26,YAL022C
843,PMT2,YAL023C
4004,LTE1,YAL024C
2999,DRS2,YAL026C
4526,SAW1,YAL027W
2925,MYO4,YAL029C
3713,GIP4,YAL031C
1696,PRP45,YAL032C
863,RBG1,YAL036C
856,CYC3,YAL039C
1264,CLN3,YAL040C
3847,CDC24,YAL041W
1374,GCV3,YAL044C
4182,AIM1,YAL046C
560,SPC72,YAL047C
1235,FLC2,YAL053W
1550,ACS1,YAL054C
4139,PEX22,YAL055W
4803,GPB2,YAL056W
4421,ECM1,YAL059W
2820,BDH1,YAL060W
725,GDH3,YAL062W
1673,FLO9,YAL063C
1575,NA,YAL063C-A
3033,TDA8,YAL064C-A
4581,NA,YAL064W
3604,NA,YAL064W-B
1483,SEO1,YAL067C
4215,NA,YAL067W-A
2798,ERP1,YAR002C-A
4030,NUP60,YAR002W
549,SWD1,YAR003W
403,ADE1,YAR015W
86,KIN3,YAR018C
4049,PAU7,YAR020C
854,NA,YAR023C
1922,UIP3,YAR027W
3359,PRM9,YAR031W
1106,MST28,YAR033W
4507,NA,YAR035C-A
2897,YAT1,YAR035W
1206,SWH1,YAR042W
4533,NA,YAR064W
3863,NA,YAR066W
3184,IMD1,YAR073W
3277,NA,YAR075W
213,HTB2,YBL002W
59,HTA2,YBL003C
1386,UTP20,YBL004W
4489,PDR3,YBL005W
129,SLA1,YBL007C
993,HIR1,YBL008W
3508,NA,YBL008W-A
452,ALK2,YBL009W
3535,NA,YBL010C
80,ACH1,YBL015W
4391,FUS3,YBL016W
124,PEP1,YBL017C
33,POP8,YBL018C
1633,APN2,YBL019W
159,RFT1,YBL020W
510,HAP3,YBL021C
1501,PIM1,YBL022C
3146,MCM2,YBL023C
2956,LSM2,YBL026W
2916,RPL19B,YBL027W
3345,NA,YBL028C
1039,NA,YBL029C-A
4597,NA,YBL029W
3625,SHE1,YBL031W
2934,HEK2,YBL032W
3349,RIB1,YBL033C
2856,STU1,YBL034C
3420,NA,YBL036C
2815,NA,YBL039W-A
584,FUI1,YBL042C
1707,ECM13,YBL043W
1300,COR1,YBL045C
1010,PSY4,YBL046W
755,EDE1,YBL047C
2823,MOH1,YBL049W
4350,SAS3,YBL052C
4339,NA,YBL055C
963,PTC3,YBL056W
4681,SHP1,YBL058W
1732,CMC2,YBL059C-A
502,YEL1,YBL060W
3268,SKT5,YBL061C
317,PRX1,YBL064C
2825,UBP13,YBL067C
2888,PRS4,YBL068W
418,AST1,YBL069W
3649,NA,YBL071C-B
302,KTI11,YBL071W-A
3248,RPS8A,YBL072C
4288,AAR2,YBL074C
3101,SSA3,YBL075C
3550,ATG8,YBL078C
4249,NUP170,YBL079W
3893,PET112,YBL080C
309,BOI1,YBL085W
3602,NA,YBL086C
3242,TEL1,YBL088C
931,AVT5,YBL089W
1769,MRP21,YBL090W
449,MAP2,YBL091C
4444,ROX3,YBL093C
3371,MRX3,YBL095W
2962,BNA4,YBL098W
3833,ECM21,YBL101C
2915,NA,YBL101W-C
300,SFT2,YBL102W
3890,RTG3,YBL103C
1145,SRO77,YBL106C
4068,MIX23,YBL107C
1731,NA,YBL111C
1236,NA,YBL112C
3859,NA,YBL113C
4213,COQ1,YBR003W
3127,RCR1,YBR005W
310,UGA2,YBR006W
3992,DSF2,YBR007C
1538,FLR1,YBR008C
3329,HHF1,YBR009C
2791,HHT1,YBR010W
