"","GENE","ORF","ID","Days","pVal","Value","Diff","Abundance","Description"
"2785","MTC6","YHR151C",2985,"2 3 4 5 7 10 12 14",5.29857194560099e-17,13.041,3.633,NA,"Protein of unknown function; mtc6 is synthetically sick with cdc13-1"
"2786","DID4","YKL002W",1768,"2 3 4 5 7 10 12 14",1.26450162967079e-16,15.729,0.8,NA,"Class E Vps protein of the ESCRT-III complex; required for sorting of integral membrane proteins into lumenal vesicles of multivesicular bodies, and for delivery of newly synthesized vacuolar enzymes to the vacuole, involved in endocytosis"
"2787","ARC35","YNR035C",1020,"4 5 7 10 12 14",2.73842273418235e-16,15.373,0.811,NA,"Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches; required for cortical localization of calmodulin"
"2788","ERG26","YGL001C",3205,"3 4 5 7 10 12 14",4.68491778145495e-16,14.626,2.01,623,"C-3 sterol dehydrogenase; catalyzes the second of three steps required to remove two C-4 methyl groups from an intermediate in ergosterol biosynthesis; human homolog NSDHL implicated in CK syndrome, and can complement yeast null mutant"
"1","PBI2","YNL015W",2869,"3 4 5 7 10 12 14",6.26213133845457e-14,14.948,-1.362,521,"Cytosolic inhibitor of vacuolar proteinase B (PRB1); required for efficient vacuole inheritance; with thioredoxin forms protein complex LMA1, which assists in priming SNARE molecules and promotes vacuole fusion; protein abundance increases in response to DNA replication stress"
"2789","DUT1","YBR252W",513,"2 3 4 5 7 10 12 14",6.26213133845457e-14,14.44,3.243,7500,"Deoxyuridine triphosphate diphosphatase (dUTPase); catalyzes hydrolysis of dUTP to dUMP and PPi, thereby preventing incorporation of uracil into DNA during replication; critical for the maintenance of genetic stability; also has diphosphatase activity on deoxyinosine triphosphate; human homolog DUT allows growth of yeast haploid dut1 null mutant after sporulation of heterozygous diploid"
"2790","RTN1","YDR233C",1505,"2 3 4 5 7 10 12 14",7.77493867353224e-14,15.81,0.544,4300,"Reticulon protein; stabilizes membrane curvature; involved in nuclear pore assembly and maintenance of tubular ER morphology; mutant overexpressing RTN1 shows increase in tubular ER; interacts with exocyst subunit Sec6p, Yip3p, and Sbh1p; more abundant than Rtn2p; member of the RTNLA subfamily; mutants have reduced phosphatidylserine transfer between the ER and mitochondria; RTN1 has a paralog, RTN2, that arose from the whole genome duplication"
"2","ALG8","YOR067C",575,"3 4 5 7 10 12 14",9.29277516808749e-14,12.813,-3.112,NA,"Glucosyl transferase; involved in N-linked glycosylation; adds glucose to the dolichol-linked oligosaccharide precursor prior to transfer to protein during lipid-linked oligosaccharide biosynthesis; similar to Alg6p"
"3","URM1","YIL008W",247,"4 5 7 10 12 14",1.57986003467104e-13,12.493,-2.991,2050,"Ubiquitin-like protein involved in thiolation of cytoplasmic tRNAs; receives sulfur from the E1-like enzyme Uba4p and transfers it to tRNA; also functions as a protein tag with roles in nutrient sensing and oxidative stress response"
"2791","HHT1","YBR010W",1652,"2 3 4 5 7 10 12 14",6.66989218345309e-13,15.44,0.559,NA,"Histone H3; core histone protein required for chromatin assembly, part of heterochromatin-mediated telomeric and HM silencing; one of two identical histone H3 proteins (see HHT2); regulated by acetylation, methylation, and phosphorylation; H3K14 acetylation plays an important role in the unfolding of strongly positioned nucleosomes during repair of UV damage"
