DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2017-02-24	27143689	Hertz DL	2016-05-03	Clin Cancer Res	www.ncbi.nlm.nih.gov/pubmed/27143689	Pharmacogenetic Discovery in CALGB (Alliance) 90401 and Mechanistic Validation of a VAC14 Polymorphism that Increases Risk of Docetaxel-Induced Neuropathy.	Docetaxel-induced peripheral neuropathy in metastatic castrate-resistant prostate cancer	50 European ancestry cases with neuropathy, 573 European ancestry cases without neuropathy	NA	16q22.1	16	70741552	VAC14	VAC14			ENSG00000103043			rs875858-?	rs875858	0	875858	intron_variant	0	NR	2E-8	7.698970004336019		3.6	[2.21-5.84]	Illumina [498081]	N	peripheral neuropathy, response to docetaxel, metastatic prostate cancer	http://www.ebi.ac.uk/efo/EFO_0003100, http://purl.obolibrary.org/obo/GO_1902519, http://www.ebi.ac.uk/efo/EFO_0000196	GCST003672	Genome-wide genotyping array
2017-02-24	27143689	Hertz DL	2016-05-03	Clin Cancer Res	www.ncbi.nlm.nih.gov/pubmed/27143689	Pharmacogenetic Discovery in CALGB (Alliance) 90401 and Mechanistic Validation of a VAC14 Polymorphism that Increases Risk of Docetaxel-Induced Neuropathy.	Docetaxel-induced peripheral neuropathy in metastatic castrate-resistant prostate cancer	50 European ancestry cases with neuropathy, 573 European ancestry cases without neuropathy	NA	10q26.3	10	130032376	Intergenic	C10orf143			ENSG00000237489			rs11017056-?	rs11017056	0	11017056	intron_variant	0	NR	4E-7	6.3979400086720375		2.61	[1.77-3.84]	Illumina [498081]	N	peripheral neuropathy, response to docetaxel, metastatic prostate cancer	http://www.ebi.ac.uk/efo/EFO_0003100, http://purl.obolibrary.org/obo/GO_1902519, http://www.ebi.ac.uk/efo/EFO_0000196	GCST003672	Genome-wide genotyping array
2017-02-24	27143689	Hertz DL	2016-05-03	Clin Cancer Res	www.ncbi.nlm.nih.gov/pubmed/27143689	Pharmacogenetic Discovery in CALGB (Alliance) 90401 and Mechanistic Validation of a VAC14 Polymorphism that Increases Risk of Docetaxel-Induced Neuropathy.	Docetaxel-induced peripheral neuropathy in metastatic castrate-resistant prostate cancer	50 European ancestry cases with neuropathy, 573 European ancestry cases without neuropathy	NA	13q12.13	13	25800908	ATP8A2	ATP8A2			ENSG00000132932			rs1326116-?	rs1326116	0	1326116	intron_variant	0	NR	2E-6	5.698970004336019		2.77	[1.79-4.27]	Illumina [498081]	N	peripheral neuropathy, response to docetaxel, metastatic prostate cancer	http://www.ebi.ac.uk/efo/EFO_0003100, http://purl.obolibrary.org/obo/GO_1902519, http://www.ebi.ac.uk/efo/EFO_0000196	GCST003672	Genome-wide genotyping array
2017-02-24	27143689	Hertz DL	2016-05-03	Clin Cancer Res	www.ncbi.nlm.nih.gov/pubmed/27143689	Pharmacogenetic Discovery in CALGB (Alliance) 90401 and Mechanistic Validation of a VAC14 Polymorphism that Increases Risk of Docetaxel-Induced Neuropathy.	Docetaxel-induced peripheral neuropathy in metastatic castrate-resistant prostate cancer	50 European ancestry cases with neuropathy, 573 European ancestry cases without neuropathy	NA	18p11.31	18	4772808	Intergenic	AP005403.1 - AP005203.1	ENSG00000265545	ENSG00000266268		313350	2246	rs8089250-?	rs8089250	0	8089250	intergenic_variant	1	NR	2E-6	5.698970004336019		2.72	[1.78-4.17]	Illumina [498081]	N	peripheral neuropathy, response to docetaxel, metastatic prostate cancer	http://www.ebi.ac.uk/efo/EFO_0003100, http://purl.obolibrary.org/obo/GO_1902519, http://www.ebi.ac.uk/efo/EFO_0000196	GCST003672	Genome-wide genotyping array
2017-02-24	27143689	Hertz DL	2016-05-03	Clin Cancer Res	www.ncbi.nlm.nih.gov/pubmed/27143689	Pharmacogenetic Discovery in CALGB (Alliance) 90401 and Mechanistic Validation of a VAC14 Polymorphism that Increases Risk of Docetaxel-Induced Neuropathy.	Docetaxel-induced peripheral neuropathy in metastatic castrate-resistant prostate cancer	50 European ancestry cases with neuropathy, 573 European ancestry cases without neuropathy	NA	2q36.3	2	225488082	KIAA1486	NYAP2			ENSG00000144460			rs6436559-?	rs6436559	0	6436559	intron_variant	0	NR	3E-6	5.522878745280337		3.34	[1.95-5.71]	Illumina [498081]	N	peripheral neuropathy, response to docetaxel, metastatic prostate cancer	http://www.ebi.ac.uk/efo/EFO_0003100, http://purl.obolibrary.org/obo/GO_1902519, http://www.ebi.ac.uk/efo/EFO_0000196	GCST003672	Genome-wide genotyping array
2017-02-24	27143689	Hertz DL	2016-05-03	Clin Cancer Res	www.ncbi.nlm.nih.gov/pubmed/27143689	Pharmacogenetic Discovery in CALGB (Alliance) 90401 and Mechanistic Validation of a VAC14 Polymorphism that Increases Risk of Docetaxel-Induced Neuropathy.	Docetaxel-induced peripheral neuropathy in metastatic castrate-resistant prostate cancer	50 European ancestry cases with neuropathy, 573 European ancestry cases without neuropathy	NA	5p15.33	5	3727065	Intergenic	IRX1 - AC025773.1	ENSG00000170549	ENSG00000248962		125662	285643	rs1566691-?	rs1566691	0	1566691	intergenic_variant	1	NR	4E-6	5.3979400086720375		3.64	[2.03-6.52]	Illumina [498081]	N	peripheral neuropathy, response to docetaxel, metastatic prostate cancer	http://www.ebi.ac.uk/efo/EFO_0003100, http://purl.obolibrary.org/obo/GO_1902519, http://www.ebi.ac.uk/efo/EFO_0000196	GCST003672	Genome-wide genotyping array
2017-02-24	27143689	Hertz DL	2016-05-03	Clin Cancer Res	www.ncbi.nlm.nih.gov/pubmed/27143689	Pharmacogenetic Discovery in CALGB (Alliance) 90401 and Mechanistic Validation of a VAC14 Polymorphism that Increases Risk of Docetaxel-Induced Neuropathy.	Docetaxel-induced peripheral neuropathy in metastatic castrate-resistant prostate cancer	50 European ancestry cases with neuropathy, 573 European ancestry cases without neuropathy	NA	11q25	11	132887775	OPCML	OPCML			ENSG00000183715			rs1027796-?	rs1027796	0	1027796	intron_variant	0	NR	4E-6	5.3979400086720375		2.38	[1.62-3.48]	Illumina [498081]	N	peripheral neuropathy, response to docetaxel, metastatic prostate cancer	http://www.ebi.ac.uk/efo/EFO_0003100, http://purl.obolibrary.org/obo/GO_1902519, http://www.ebi.ac.uk/efo/EFO_0000196	GCST003672	Genome-wide genotyping array
2017-02-24	27143689	Hertz DL	2016-05-03	Clin Cancer Res	www.ncbi.nlm.nih.gov/pubmed/27143689	Pharmacogenetic Discovery in CALGB (Alliance) 90401 and Mechanistic Validation of a VAC14 Polymorphism that Increases Risk of Docetaxel-Induced Neuropathy.	Docetaxel-induced peripheral neuropathy in metastatic castrate-resistant prostate cancer	50 European ancestry cases with neuropathy, 573 European ancestry cases without neuropathy	NA	9q33.1	9	115509305	Intergenic	AL691420.1			ENSG00000228714			rs2213920-?	rs2213920	0	2213920	intron_variant	0	NR	5E-6	5.301029995663981		2.63	[1.70-4.06]	Illumina [498081]	N	peripheral neuropathy, response to docetaxel, metastatic prostate cancer	http://www.ebi.ac.uk/efo/EFO_0003100, http://purl.obolibrary.org/obo/GO_1902519, http://www.ebi.ac.uk/efo/EFO_0000196	GCST003672	Genome-wide genotyping array
2017-02-24	27143689	Hertz DL	2016-05-03	Clin Cancer Res	www.ncbi.nlm.nih.gov/pubmed/27143689	Pharmacogenetic Discovery in CALGB (Alliance) 90401 and Mechanistic Validation of a VAC14 Polymorphism that Increases Risk of Docetaxel-Induced Neuropathy.	Docetaxel-induced peripheral neuropathy in metastatic castrate-resistant prostate cancer	50 European ancestry cases with neuropathy, 573 European ancestry cases without neuropathy	NA	2q36.3	2	228150003	SPHKAP	SPHKAP			ENSG00000153820			rs4438470-?	rs4438470	0	4438470	intron_variant	0	NR	5E-6	5.301029995663981		2.71	[1.73-4.25]	Illumina [498081]	N	peripheral neuropathy, response to docetaxel, metastatic prostate cancer	http://www.ebi.ac.uk/efo/EFO_0003100, http://purl.obolibrary.org/obo/GO_1902519, http://www.ebi.ac.uk/efo/EFO_0000196	GCST003672	Genome-wide genotyping array
2017-02-24	27143689	Hertz DL	2016-05-03	Clin Cancer Res	www.ncbi.nlm.nih.gov/pubmed/27143689	Pharmacogenetic Discovery in CALGB (Alliance) 90401 and Mechanistic Validation of a VAC14 Polymorphism that Increases Risk of Docetaxel-Induced Neuropathy.	Docetaxel-induced peripheral neuropathy in metastatic castrate-resistant prostate cancer	50 European ancestry cases with neuropathy, 573 European ancestry cases without neuropathy	NA	2p25.2	2	6637697	Intergenic	MIR7515HG			ENSG00000236172			rs17815605-?	rs17815605	0	17815605	non_coding_transcript_exon_variant	0	NR	6E-6	5.221848749616356		2.886	[NR]	Illumina [498081]	N	peripheral neuropathy, response to docetaxel, metastatic prostate cancer	http://www.ebi.ac.uk/efo/EFO_0003100, http://purl.obolibrary.org/obo/GO_1902519, http://www.ebi.ac.uk/efo/EFO_0000196	GCST003672	Genome-wide genotyping array
