date.added.to.catalog	pubmedid	first.author	date	journal	link	study	disease.trait	initial.sample.size	replication.sample.size	region	chr.id	chr.pos	reported.genes	mapped.gene	upstream.gene.id	downstream.gene.id	snp.gene.ids	upstream.gene.distance	downstream.gene.distance	strongest.snp.risk.allele	snps	merged	snp.id.current	context	intergenic	risk.allele.frequency	pvalue	pvalue.mlog	p.value.text	OR.or.beta	95%.ci.text	platform.snp.passing.qc
9/23/2010	20729852	Abnet CC	8/22/2010	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20729852	A shared susceptibility locus in PLCE1 at 10q23 for gastric adenocarcinoma and esophageal squamous cell carcinoma.	Esophageal cancer and gastric cancer	"1,625 Chinese ancestry gastric cancer cases, 1,898 Chinese ancestry ESCC cases, 2,100 Chinese ancestry controls"	NA	10q23.33	10	94310618	"PLCE1, NOC3L"	PLCE1			51196			rs3781264-C	rs3781264		3781264	intron_variant	0	0.15	4.00E-09	8.397940009	(Total gastric)	1.36	[1.23-1.50]	Illumina [551152]
9/23/2010	20729852	Abnet CC	8/22/2010	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20729852	A shared susceptibility locus in PLCE1 at 10q23 for gastric adenocarcinoma and esophageal squamous cell carcinoma.	Esophageal cancer and gastric cancer	"1,625 Chinese ancestry gastric cancer cases, 1,898 Chinese ancestry ESCC cases, 2,100 Chinese ancestry controls"	NA	1q22	1	155192276	NR	MUC1			4582			rs4072037-A	rs4072037		4072037	splice_acceptor_variant	0	0.84	4.00E-07	6.397940009	(Total gastric)	1.33	[1.19-1.49]	Illumina [551152]
9/23/2010	20729852	Abnet CC	8/22/2010	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20729852	A shared susceptibility locus in PLCE1 at 10q23 for gastric adenocarcinoma and esophageal squamous cell carcinoma.	Esophageal cancer and gastric cancer	"1,625 Chinese ancestry gastric cancer cases, 1,898 Chinese ancestry ESCC cases, 2,100 Chinese ancestry controls"	NA	10q23.33	10	94298541	"PLCE1, NOC3L"	PLCE1			51196			rs3765524-T	rs3765524		3765524	missense_variant	0	0.207	2.00E-09	8.698970004	(ESCC)	1.35	[1.22-1.49]	Illumina [551152]
9/23/2010	20729852	Abnet CC	8/22/2010	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20729852	A shared susceptibility locus in PLCE1 at 10q23 for gastric adenocarcinoma and esophageal squamous cell carcinoma.	Esophageal cancer and gastric cancer	"1,625 Chinese ancestry gastric cancer cases, 1,898 Chinese ancestry ESCC cases, 2,100 Chinese ancestry controls"	NA	22q12.1	22	28734024	"HSCB, CHEK2"	CHEK2			11200			rs738722-T	rs738722		738722	intron_variant	0	0.25	1.00E-08	8	(ESCC)	1.3	[1.19-1.43]	Illumina [551152]
9/27/2011	21866343	Ahn MJ	8/25/2011	Hum Genet	www.ncbi.nlm.nih.gov/pubmed/21866343	The 18p11.22 locus is associated with never smoker non-small cell lung cancer susceptibility in Korean populations.	Non-small cell lung cancer	"445 Korean ancestry cases, 497 Korean ancestry controls"	"396 Korean ancestry cases, 998 Korean ancestry controls"	18p11.22	18	10899030	"APCDD1, NAPG, FAM38B"	PIEZO2			63895			rs11080466-C	rs11080466		11080466	intron_variant	0	NR	1.00E-06	6		1.47	[1.27-1.72]	Affymetrix [474503]
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	1q21.3	1	150685811	GOLPH3L	GOLPH3L			55204			rs17599629-G	rs17599629		17599629	intron_variant	0	0.22	3.00E-09	8.522878745		1.08	[1.06-1.11]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	2p25.1	2	10570604	NOL10	LOC105373426 - NOL10	105373426	79954		21928	162	rs9287719-C	rs9287719		9287719	downstream_gene_variant	0	0.46	3.00E-08	7.522878745		1.06	[1.04-1.08]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	4q13.3	4	72989536	COX18	LOC105377273			105377273			rs10009409-T	rs10009409		10009409	intergenic_variant	0	0.32	2.00E-10	9.698970004		1.08	[1.05-1.10]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	6p24.2	6	11218797	NEDD9	NEDD9			4739			rs4713266-C	rs4713266		4713266	intron_variant	0	0.52	3.00E-09	8.522878745		1.06	[1.04-1.08]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	6p22.1	6	30105999	TRIM31	"TRIM31, TRIM31-AS1"			"11074, 104533120"			rs115457135-A	rs115457135		115457135	intron_variant	0	0.22	1.00E-07	7		1.07	[1.05-1.10]	"Affymetrix, Illumina [up to 16852405] (imputed)"
5/7/2015	25217961	Al Olama AA	9/14/2014	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25217961	"A meta-analysis of 87,040 individuals identifies 23 new susceptibility loci for prostate cancer."	Prostate cancer	"34,379 European ancestry cases, 33,164 European ancestry controls, 5,327 African ancestry cases, 5,136 African ancestry controls, 2,563 Japanese ancestry cases, 4,391 Japanese ancestry controls, 1,034 Latino cases, 1,046 Latino controls"	NA	6p21.32	6	32433162	HLA-DRB6	BTNL2 - HLA-DRA	56244	3122		24283	6680	rs115306967-G	rs115306967		115306967	intron_variant	0	0.65	9.00E-07	6.045757491		1.06	[1.05-1.10]	"Affymetrix, Illumina [up to 16852405] (imputed)"
