date.added.to.catalog	PUBMEDID	first.author	date	journal	link	STUDY	DISEASE/TRAIT	initial.sample.size	replication.sample.size	region	chr.id	chr.pos	reported.genes	mapped.gene	upstream.gene.id	downstream.gene.id	SNP_GENE_IDS	upstream.gene.distance	downstream.gene.distance	strongest.snp.risk.allele	SNPS	merged	snp.id.current	context	intergenic	risk.allele.frequency	pvalue	pvalue.mlog	p.value.text	OR.or.beta	95%.ci.text	platform.snp.passing.qc	CNV
6/16/2008	18372903	Zeggini E	3/30/2008	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18372903	Meta-analysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes.	Type 2 diabetes	"4,549 European ancestry cases, 5,579 European ancestry controls"	"24,194 European ancestry cases, 55,598 European ancestry controls"	7p15.1	7	28140937	JAZF1	JAZF1			221895			rs864745-T	rs864745		864745	intron_variant	0	0.5	5.00E-14	13.30103		1.1	[1.07-1.13]	"Affymetrix, Illumina [2202892] (imputed)"	N
6/16/2008	18372903	Zeggini E	3/30/2008	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18372903	Meta-analysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes.	Type 2 diabetes	"4,549 European ancestry cases, 5,579 European ancestry controls"	"24,194 European ancestry cases, 55,598 European ancestry controls"	10p13	10	12286011	"CDC123, CAMK1D"	CDC123 - CAMK1D	8872	57118		35421	63506	rs12779790-G	rs12779790		12779790	intergenic_variant	0	0.18	1.00E-10	10		1.11	[1.07-1.14]	"Affymetrix, Illumina [2202892] (imputed)"	N
6/16/2008	18372903	Zeggini E	3/30/2008	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18372903	Meta-analysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes.	Type 2 diabetes	"4,549 European ancestry cases, 5,579 European ancestry controls"	"24,194 European ancestry cases, 55,598 European ancestry controls"	12q21.1	12	71269322	"LGR5, TSPAN8"	LOC105369831 - LOC105369832	105369831	105369832		48501	6764	rs7961581-C	rs7961581		7961581	intron_variant	0	0.27	1.00E-09	9		1.09	[1.06-1.12]	"Affymetrix, Illumina [2202892] (imputed)"	N
6/16/2008	18372903	Zeggini E	3/30/2008	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18372903	Meta-analysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes.	Type 2 diabetes	"4,549 European ancestry cases, 5,579 European ancestry controls"	"24,194 European ancestry cases, 55,598 European ancestry controls"	2p21	2	43505684	THADA	THADA			63892			rs7578597-T	rs7578597		7578597	missense_variant	0	0.9	1.00E-09	9		1.15	[1.10-1.20]	"Affymetrix, Illumina [2202892] (imputed)"	N
6/16/2008	18372903	Zeggini E	3/30/2008	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18372903	Meta-analysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes.	Type 2 diabetes	"4,549 European ancestry cases, 5,579 European ancestry controls"	"24,194 European ancestry cases, 55,598 European ancestry controls"	3p14.1	3	64726228	ADAMTS9	ADAMTS9-AS2			100507098			rs4607103-C	rs4607103		4607103	intron_variant	0	0.76	1.00E-08	8		1.09	[1.06-1.12]	"Affymetrix, Illumina [2202892] (imputed)"	N
6/16/2008	17653210	Maeda S	8/1/2007	Kidney Int Suppl	www.ncbi.nlm.nih.gov/pubmed/17653210	Genetic variations associated with diabetic nephropathy and type II diabetes in a Japanese population.	Type 2 diabetes nephropathy	"94 Japanese ancestry cases, 94 Japanese ancestry controls"	NA	7p14.2	7	36878390	ELMO1	ELMO1			9844			rs741301-?	rs741301		741301	intron_variant	0	NR	8.00E-06	5.096910013		2.67	[1.71-4.16]	NR [~ 80000]	N
6/16/2008	17554300	WTCCC	6/7/2007	Nature	www.ncbi.nlm.nih.gov/pubmed/17554300	"Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls."	Type 2 diabetes	"1,924 European ancestry cases, 2,938 European ancestry controls"	(see Zeggini 2007)	6p22.3	6	20717024	CDKAL1	CDKAL1			54901			rs9465871-C	rs9465871		9465871	intron_variant	0	0.18	3.00E-07	6.522878745		1.18	[1.04-1.34]	Affymetrix [469557]	N
6/16/2008	17554300	WTCCC	6/7/2007	Nature	www.ncbi.nlm.nih.gov/pubmed/17554300	"Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls."	Type 2 diabetes	"1,924 European ancestry cases, 2,938 European ancestry controls"	(see Zeggini 2007)	16q12.2	16	53786615	FTO	FTO			79068			rs9939609-A	rs9939609		9939609	intron_variant	0	0.4	2.00E-07	6.698970004		1.34	[1.17-1.52]	Affymetrix [469557]	N
6/16/2008	17554300	WTCCC	6/7/2007	Nature	www.ncbi.nlm.nih.gov/pubmed/17554300	"Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls."	Type 2 diabetes	"1,924 European ancestry cases, 2,938 European ancestry controls"	(see Zeggini 2007)	3p14.3	3	55279372	NR	LOC105377097 - LOC105377098	105377097	105377098		20028	6952	rs358806-?	rs358806		358806	intergenic_variant	0	0.8	3.00E-06	5.522878745		1.16	[1.03-1.33]	Affymetrix [469557]	N
6/16/2008	17554300	WTCCC	6/7/2007	Nature	www.ncbi.nlm.nih.gov/pubmed/17554300	"Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls."	Type 2 diabetes	"1,924 European ancestry cases, 2,938 European ancestry controls"	(see Zeggini 2007)	12q21.1	12	71183321	NR	TSPAN8 - LOC105369831	7103	105369831		25322	33702	rs1495377-G	rs1495377		1495377	intron_variant	0	0.5	7.00E-06	5.15490196		1.28	[1.11-1.49]	Affymetrix [469557]	N
6/16/2008	17554300	WTCCC	6/7/2007	Nature	www.ncbi.nlm.nih.gov/pubmed/17554300	"Genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls."	Type 2 diabetes	"1,924 European ancestry cases, 2,938 European ancestry controls"	(see Zeggini 2007)	12q13.12	12	50963759	NR	HIGD1C			613227			rs12304921-G	rs12304921		12304921	intron_variant	0	0.15	7.00E-06	5.15490196		2.5	[1.53-4.09]	Affymetrix [469557]	N
6/16/2008	17463246	Saxena R	4/26/2007	Science	www.ncbi.nlm.nih.gov/pubmed/17463246	Genome-wide association analysis identifies loci for type 2 diabetes and triglyceride levels.	Type 2 diabetes	"1,464 European ancestry cases, 1,467 European ancestry controls"	"5,065 European ancestry cases, 5,785 European ancestry controls"	6p22.3	6	20661019	CDKAL1	CDKAL1			54901			rs7754840-C	rs7754840		7754840	intron_variant	0	0.31	4.00E-11	10.39794001	(DGI+FUSION+WTCCC)	1.12	[1.08-1.16]	Affymetrix [386731]	N
6/16/2008	17460697	Steinthorsdottir V	4/26/2007	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/17460697	A variant in CDKAL1 influences insulin response and risk of type 2 diabetes.	Type 2 diabetes	"1,399 European ancestry cases, 5,275 European ancestry controls"	"2,174 European ancestry cases, 7,287 European ancestry controls"	6p22.3	6	20679478	CDKAL1	CDKAL1			54901			rs7756992-G	rs7756992		7756992	intron_variant	0	0.26	8.00E-09	8.096910013		1.2	[1.13-1.27]	Illumina [at least 313179]	N
6/16/2008	17293876	Sladek R	2/11/2007	Nature	www.ncbi.nlm.nih.gov/pubmed/17293876	A genome-wide association study identifies novel risk loci for type 2 diabetes.	Type 2 diabetes	"661 European ancestry cases, 614 European ancestry controls"	"2,617 European ancestry cases, 2,894 European ancestry controls"	10q23.33	10	92703125	HHEX	HHEX - EXOC6	3087	54536		7474	131588	rs1111875-G	rs1111875		1111875	regulatory_region_variant	0	0.6	3.00E-06	5.522878745		1.19	[0.82-1.56]	Illumina [392935]	N
6/16/2008	17293876	Sladek R	2/11/2007	Nature	www.ncbi.nlm.nih.gov/pubmed/17293876	A genome-wide association study identifies novel risk loci for type 2 diabetes.	Type 2 diabetes	"661 European ancestry cases, 614 European ancestry controls"	"2,617 European ancestry cases, 2,894 European ancestry controls"	8q24.11	8	117172544	SLC30A8	"LOC105375716, SLC30A8"			"105375716, 169026"			rs13266634-C	rs13266634		13266634	missense_variant	0	0.7	6.00E-08	7.22184875		1.18	[0.69-1.67]	Illumina [392935]	N
6/16/2008	17293876	Sladek R	2/11/2007	Nature	www.ncbi.nlm.nih.gov/pubmed/17293876	A genome-wide association study identifies novel risk loci for type 2 diabetes.	Type 2 diabetes	"661 European ancestry cases, 614 European ancestry controls"	"2,617 European ancestry cases, 2,894 European ancestry controls"	10q25.2	10	112998590	TCF7L2	TCF7L2			6934			rs7903146-T	rs7903146		7903146	intron_variant	0	0.3	2.00E-34	33.69897		1.65	"[1.28, 2.02]"	Illumina [392935]	N
