DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2018-10-17	29942513	Penney ME	2018-06-13	Biomark Res	www.ncbi.nlm.nih.gov/pubmed/29942513	Associations of single nucleotide polymorphisms with mucinous colorectal cancer: genome-wide common variant and gene-based rare variant analyses.	Mucinous adenocarcinoma in colorectal cancer	57 European ancestry cases, 448 European ancestry controls	NA	6q21	6	110429349	SLC22A16	SLC22A16			ENSG00000004809			rs9481067-G	rs9481067	0	9481067	intron_variant	0		1E-6	6.0	(univariable, recessive)	4.17	[2.33-7.43]	Illumina [729373]	N	colorectal cancer, colorectal mucinous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005842, http://www.ebi.ac.uk/efo/EFO_0009361	GCST006411	Genome-wide genotyping array
2018-10-17	29942513	Penney ME	2018-06-13	Biomark Res	www.ncbi.nlm.nih.gov/pubmed/29942513	Associations of single nucleotide polymorphisms with mucinous colorectal cancer: genome-wide common variant and gene-based rare variant analyses.	Mucinous adenocarcinoma in colorectal cancer	57 European ancestry cases, 448 European ancestry controls	NA	3q13.31	3	114402172	ZBTB20	ZBTB20			ENSG00000181722			rs10511330-C	rs10511330	0	10511330	intron_variant	0		1E-6	6.0	(multivariable, dominant)	4.85	[2.54-9.23]	Illumina [729373]	N	colorectal cancer, colorectal mucinous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005842, http://www.ebi.ac.uk/efo/EFO_0009361	GCST006411	Genome-wide genotyping array
2018-10-17	29942513	Penney ME	2018-06-13	Biomark Res	www.ncbi.nlm.nih.gov/pubmed/29942513	Associations of single nucleotide polymorphisms with mucinous colorectal cancer: genome-wide common variant and gene-based rare variant analyses.	Mucinous adenocarcinoma in colorectal cancer	57 European ancestry cases, 448 European ancestry controls	NA	3q13.31	3	114398480	ZBTB20	ZBTB20			ENSG00000181722			rs16822593-A	rs16822593	0	16822593	intron_variant	0		2E-6	5.698970004336019	(multivariable, dominant)	4.83	[2.53-9.20]	Illumina [729373]	N	colorectal cancer, colorectal mucinous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005842, http://www.ebi.ac.uk/efo/EFO_0009361	GCST006411	Genome-wide genotyping array
2018-10-17	29942513	Penney ME	2018-06-13	Biomark Res	www.ncbi.nlm.nih.gov/pubmed/29942513	Associations of single nucleotide polymorphisms with mucinous colorectal cancer: genome-wide common variant and gene-based rare variant analyses.	Mucinous adenocarcinoma in colorectal cancer	57 European ancestry cases, 448 European ancestry controls	NA	2q31.2	2	178995835	CCDC141	CCDC141			ENSG00000163492			rs13019215-C	rs13019215	0	13019215	intron_variant	0		8E-6	5.096910013008056	(multivariable, dominant)	4.347826	[2.33-8.33]	Illumina [729373]	N	colorectal cancer, colorectal mucinous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005842, http://www.ebi.ac.uk/efo/EFO_0009361	GCST006411	Genome-wide genotyping array
2018-10-17	29942513	Penney ME	2018-06-13	Biomark Res	www.ncbi.nlm.nih.gov/pubmed/29942513	Associations of single nucleotide polymorphisms with mucinous colorectal cancer: genome-wide common variant and gene-based rare variant analyses.	Mucinous adenocarcinoma in colorectal cancer	57 European ancestry cases, 448 European ancestry controls	NA	2q31.2	2	179003258	CCDC141	CCDC141			ENSG00000163492			rs12471607-C	rs12471607	0	12471607	intron_variant	0		8E-6	5.096910013008056	(multivariable, dominant)	4.347826	[2.33-8.33]	Illumina [729373]	N	colorectal cancer, colorectal mucinous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005842, http://www.ebi.ac.uk/efo/EFO_0009361	GCST006411	Genome-wide genotyping array
2018-10-17	29942513	Penney ME	2018-06-13	Biomark Res	www.ncbi.nlm.nih.gov/pubmed/29942513	Associations of single nucleotide polymorphisms with mucinous colorectal cancer: genome-wide common variant and gene-based rare variant analyses.	Mucinous adenocarcinoma in colorectal cancer	57 European ancestry cases, 448 European ancestry controls	NA	5q14.1	5	81187755	RASGRF2	RASGRF2			ENSG00000113319			rs716897-T	rs716897	0	716897	intron_variant	0		5E-6	5.301029995663981	(univariable, dominant)	3.7037036	[2.13-6.67]	Illumina [729373]	N	colorectal cancer, colorectal mucinous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005842, http://www.ebi.ac.uk/efo/EFO_0009361	GCST006411	Genome-wide genotyping array
2018-10-17	29942513	Penney ME	2018-06-13	Biomark Res	www.ncbi.nlm.nih.gov/pubmed/29942513	Associations of single nucleotide polymorphisms with mucinous colorectal cancer: genome-wide common variant and gene-based rare variant analyses.	Mucinous adenocarcinoma in colorectal cancer	57 European ancestry cases, 448 European ancestry controls	NA	9q34.11	9	129161670	Intergenic	PTPA - AL158151.4	ENSG00000119383	ENSG00000268707		12724	8764	rs4837345-T	rs4837345	0	4837345	regulatory_region_variant	1		4E-6	5.3979400086720375	(univariable, recessive)	4.72	[2.40-9.05]	Illumina [729373]	N	colorectal cancer, colorectal mucinous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005842, http://www.ebi.ac.uk/efo/EFO_0009361	GCST006411	Genome-wide genotyping array
2018-10-17	29942513	Penney ME	2018-06-13	Biomark Res	www.ncbi.nlm.nih.gov/pubmed/29942513	Associations of single nucleotide polymorphisms with mucinous colorectal cancer: genome-wide common variant and gene-based rare variant analyses.	Mucinous adenocarcinoma in colorectal cancer	57 European ancestry cases, 448 European ancestry controls	NA	9q34.11	9	129168215	Intergenic	PTPA - AL158151.4	ENSG00000119383	ENSG00000268707		19269	2219	rs10819474-C	rs10819474	0	10819474	intergenic_variant	1		4E-6	5.3979400086720375	(univariable, recessive)	4.72	[2.40-9.05]	Illumina [729373]	N	colorectal cancer, colorectal mucinous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005842, http://www.ebi.ac.uk/efo/EFO_0009361	GCST006411	Genome-wide genotyping array
2018-10-17	29942513	Penney ME	2018-06-13	Biomark Res	www.ncbi.nlm.nih.gov/pubmed/29942513	Associations of single nucleotide polymorphisms with mucinous colorectal cancer: genome-wide common variant and gene-based rare variant analyses.	Mucinous adenocarcinoma in colorectal cancer	57 European ancestry cases, 448 European ancestry controls	NA	14q31.3	14	84647825	NR	MTCYBP27 - RNU6-976P	ENSG00000259012	ENSG00000251895		470737	92117	rs11159673-A	rs11159673	0	11159673	intergenic_variant	1	NR	7E-6	5.154901959985743	(univariable, additive)	3.096	[1.879-5.073]	Illumina [729373]	N	colorectal cancer, colorectal mucinous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005842, http://www.ebi.ac.uk/efo/EFO_0009361	GCST006411	Genome-wide genotyping array
2018-10-17	29942513	Penney ME	2018-06-13	Biomark Res	www.ncbi.nlm.nih.gov/pubmed/29942513	Associations of single nucleotide polymorphisms with mucinous colorectal cancer: genome-wide common variant and gene-based rare variant analyses.	Mucinous adenocarcinoma in colorectal cancer	57 European ancestry cases, 448 European ancestry controls	NA				NR							kgp4136779 -T	kgp4136779	0			1	NR	4E-6	5.3979400086720375	(univariable, recessive)	4.721	[2.403-9.052]	Illumina [729373]	N	colorectal cancer, colorectal mucinous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005842, http://www.ebi.ac.uk/efo/EFO_0009361	GCST006411	Genome-wide genotyping array
