Gene stable ID	Gene name	Saccharomyces cerevisiae gene stable ID	Saccharomyces cerevisiae gene name	%id. target Saccharomyces cerevisiae gene identical to query gene	%id. query gene identical to target Saccharomyces cerevisiae gene	Saccharomyces cerevisiae orthology confidence [0 low, 1 high]
ENSG00000198804	MT-CO1	Q0065	AI4	34.308	31.6547	1
ENSG00000198804	MT-CO1	Q0045	COX1	51.6569	49.6255	1
ENSG00000198804	MT-CO1	Q0070		45.0292	36.6667	1
ENSG00000198712	MT-CO2	Q0250	COX2	41.8502	37.8486	1
ENSG00000198899	MT-ATP6	Q0085	ATP6	30.9735	27.027	1
ENSG00000198938	MT-CO3	Q0275	COX3	45.2107	43.8662	1
ENSG00000198727	MT-CYB	Q0110		25.5263	22.9314	0
ENSG00000198727	MT-CYB	Q0120		41.5789	24.7649	0
ENSG00000198727	MT-CYB	Q0105	COB	46.3158	45.7143	1
ENSG00000198727	MT-CYB	Q0115		28.9474	21.2766	0
ENSG00000276345	AC004556.1	YDR405W	MRP20	20.2614	11.7871	0
ENSG00000286094	AC026740.3	YLR246W		17.2507	17.8273	0
ENSG00000158793	NIT1	YJL126W		34.5566	36.8078	1
ENSG00000084072	PPIE	YDR155C	CPR1	29.6178	57.4074	0
ENSG00000084072	PPIE	YML078W	CPR3	29.9363	51.6483	0
ENSG00000196155	PLEKHG4	YAL041W	CDC24	8.48027	11.8267	0
ENSG00000131791	PRKAB2	YGL208W	SIP2	33.8235	22.1687	0
ENSG00000131791	PRKAB2	YER027C	GAL83	29.7794	19.4245	0
ENSG00000101310	SEC23B	YPR181C		50.4563	50.3906	1
ENSG00000162755	KLHDC9	YER132C		17.4785	3.47975	0
ENSG00000162755	KLHDC9	YGL197W		18.9112	4.43847	0
ENSG00000162755	KLHDC9	YHR158C		16.6189	4.98282	0
ENSG00000162755	KLHDC9	YGR238C		17.192	6.80272	0
ENSG00000284770	TBCE	YER007W		23.1834	25.8687	0
ENSG00000172954	LCLAT1	YBR042C	CST26	19.3237	20.1511	0
ENSG00000172954	LCLAT1	YDR018C		18.1159	18.9394	0
ENSG00000065548	ZC3H15	YOR091W	TMA46	34.507	42.6087	1
ENSG00000152904	GGPS1	YPL069C		43	38.5075	1
ENSG00000285053	TBCE	YER007W		25.2372	25.6757	1
ENSG00000265354	TIMM23	YNR017W	TIM23	24.8804	23.4234	0
ENSG00000070770	CSNK2A2	YOR061W	CKA2	55.7143	57.5221	1
ENSG00000070770	CSNK2A2	YIL035C	CKA1	62	58.3333	1
ENSG00000144233	AMMECR1L	YOR289W		25.1613	31.0757	1
ENSG00000144231	POLR2D	YJL140W	RPB4	30.9859	19.9095	0
ENSG00000162704	ARPC5	YIL062C		27.9221	27.9221	0
ENSG00000148688	RPP30	YHR062C		20.8075	22.8669	0
ENSG00000168439	STIP1	YNL121C	TOM70	12.5424	11.9935	0
ENSG00000168439	STIP1	YHR117W	TOM71	13.8983	12.8326	0
ENSG00000048649	RSF1	YOR244W	ESA1	3.46981	11.236	0
ENSG00000158014	SLC30A2	YPL224C	MMT2	18.8172	14.4628	0
ENSG00000158014	SLC30A2	YMR177W		18.0108	13.1373	0
ENSG00000196475	GK2	YHL032C		42.8571	33.4274	1
ENSG00000100614	PPM1A	YOR090C	PTC5	13.4066	10.6643	0
ENSG00000163909	HEYL	YFR034C	PHO4	12.8049	13.4615	0
ENSG00000163002	NUP35	YMR153W		22.3926	15.3684	0
ENSG00000166676	TVP23A	YDR084C		28.169	30.1508	1
ENSG00000059588	TARBP1	YDL112W		16.0395	18.1059	0
ENSG00000116455	WDR77	YEL056W		11.9883	10.2244	0
ENSG00000116455	WDR77	YDR030C		14.9123	10.0791	0
ENSG00000116455	WDR77	YDR128W	MTC5	16.9591	5.05226	0
ENSG00000196961	AP2A1	YBL037W		25.5885	24.3902	0
ENSG00000085465	OVGP1	YDR371W		15.4867	20.5479	0
ENSG00000135750	KCNK1	YJL093C	TOK1	22.3214	10.8538	0
ENSG00000157064	NMNAT2	YGR010W		29.316	22.7848	0
ENSG00000157064	NMNAT2	YLR328W		28.9902	22.1945	0
ENSG00000100612	DHRS7	YIR036C		17.6991	22.8137	0
ENSG00000100612	DHRS7	YIR035C		17.9941	24.0157	0
ENSG00000081800	SLC13A1	YJL198W		19.1597	12.9398	0
ENSG00000081800	SLC13A1	YCR037C		19.1597	12.351	0
ENSG00000081800	SLC13A1	YNR013C		18.6555	12.4161	0
ENSG00000108387	SEPT4	YCR002C		24.5436	37.5776	0
ENSG00000169551	CT55	YHR164C	DNA2	17.4242	3.02234	0
ENSG00000169551	CT55	YLR430W	SEN1	11.7424	1.38951	0
ENSG00000130204	AC011481.1	YMR203W	TOM40	23.8227	22.2222	0
ENSG00000176160	HSF5	YGL073W	HSF1	16.1074	11.5246	0
ENSG00000176160	HSF5	YJR147W		8.55705	14.2458	0
ENSG00000178795	GDPD4	YPL206C		10.1923	16.5109	0
ENSG00000110090	CPT1A	YAR035W		22.7684	25.6186	0
ENSG00000131779	PEX11B	YOL147C	PEX11	20.4633	22.4576	0
ENSG00000174243	DDX23	YDR243C		28.1707	39.2857	1
ENSG00000012061	ERCC1	YML095C		15.4799	23.8095	0
ENSG00000115541	HSPE1	YOR020C	HSP10	44.1176	42.4528	1
ENSG00000258984	UBE2F-SCLY	YGR133W	PEX4	12.9771	9.28962	0
ENSG00000143256	PFDN2	YEL003W	GIM4	25.3247	35.1351	1
ENSG00000023228	NDUFS1	YNL240C		7.28745	10.998	0
ENSG00000075089	ACTR6	YLR085C		29.798	26.9406	1
ENSG00000117533	VAMP4	YOR327C		25.5319	31.3043	1
ENSG00000117533	VAMP4	YAL030W		26.2411	31.6239	1
ENSG00000142684	ZNF593	YLR074C		29.1045	23.494	0
ENSG00000189007	ADAT2	YJL035C		32.4607	24.8	0
ENSG00000136021	SCYL2	YGL083W		18.9711	22.0149	0
ENSG00000160781	PAQR6	YOL002C	IZH2	7.40741	8.20189	0
ENSG00000160781	PAQR6	YDR492W		7.69231	8.5443	0
ENSG00000135845	PIGC	YPL076W	GPI2	18.5185	19.6429	0
ENSG00000179520	SLC17A8	YOL162W		8.65874	23.7209	0
ENSG00000179520	SLC17A8	YOL163W		6.96095	24.2604	0
ENSG00000143224	PPOX	YER014W		25.3669	22.449	0
ENSG00000167863	ATP5PD	YKL016C		21.7391	20.1149	0
ENSG00000152256	PDK1	YGL059W		21.7105	20.1629	0
ENSG00000240038	AMY2B	YJL221C	IMA4	12.7202	11.0357	0
ENSG00000240038	AMY2B	YIL172C		12.7202	11.0357	0
ENSG00000240038	AMY2B	YOL157C		12.7202	11.0357	0
ENSG00000240038	AMY2B	YGR287C		12.1331	10.5263	0
ENSG00000240038	AMY2B	YGR292W	MAL12	12.7202	11.1301	0
ENSG00000240038	AMY2B	YBR299W	MAL32	12.7202	11.1301	0
ENSG00000240038	AMY2B	YJL216C		11.7417	10.327	0
ENSG00000125821	DTD1	YDL219W	DTD1	32.8638	46.6667	1
ENSG00000284776	AL121900.2	YDL219W	DTD1	28.2511	42	1
ENSG00000181938	GINS3	YOL146W		18.0392	23.7113	0
ENSG00000114942	EEF1B2	YAL003W	EFB1	48.4444	52.9126	1
ENSG00000107758	PPP3CB	YDL188C	PPH22	21.3333	29.7082	0
ENSG00000107758	PPP3CB	YDL134C	PPH21	21.3333	30.3523	0
ENSG00000127328	RAB3IP	YNL272C		19.958	12.5165	0
ENSG00000121486	TRMT1L	YDR120C		16.0982	20.7018	0
ENSG00000170190	SLC16A5	YOR306C		16.2376	15.739	0
ENSG00000170190	SLC16A5	YOL119C		16.6337	16.7665	0
ENSG00000116668	SWT1	YOR166C		8.66667	17.0306	0
ENSG00000172482	AGXT	YFL030W	AGX1	25.7653	26.2338	1
ENSG00000094975	SUCO	YOR154W		11.6014	27.7683	0
ENSG00000286143	AC053503.7	YMR291W		12.828	7.50853	0
ENSG00000286143	AC053503.7	YML002W		13.4111	6.24152	0
ENSG00000066923	STAG3	YIL026C	IRR1	19.0865	20.3478	0
ENSG00000110921	MVK	YMR208W	ERG12	34.0909	30.474	0
ENSG00000258052	AC025263.2	YNL272C		21.0526	2.10804	0
ENSG00000120800	UTP20	YBL004W		21.0772	23.5459	0
ENSG00000136731	UGGT1	YOR336W		19.6785	22.4176	0
ENSG00000162753	SLC9C2	YDR456W	NHX1	6.22776	11.0585	0
ENSG00000184788	SATL1	YPR193C	HPA2	3.32278	13.4615	0
ENSG00000184788	SATL1	YEL066W		4.74684	16.7598	0
ENSG00000240344	PPIL3	YDR155C	CPR1	27.8788	28.3951	0
ENSG00000240344	PPIL3	YML078W	CPR3	29.0909	26.3736	0
ENSG00000086619	ERO1B	YML130C		29.9786	24.8668	0
ENSG00000144410	CPO	YHR132C		26.738	23.2558	0
ENSG00000008118	CAMK1G	YLR248W	RCK2	25.2101	19.6721	0
ENSG00000008118	CAMK1G	YGL158W		26.2605	24.4141	0
ENSG00000243480	AMY2A	YJL221C	IMA4	12.5245	10.8659	0
ENSG00000243480	AMY2A	YIL172C		12.5245	10.8659	0
ENSG00000243480	AMY2A	YOL157C		12.5245	10.8659	0
ENSG00000243480	AMY2A	YGR287C		12.1331	10.5263	0
ENSG00000243480	AMY2A	YGR292W	MAL12	12.9159	11.3014	0
ENSG00000243480	AMY2A	YBR299W	MAL32	12.9159	11.3014	0
ENSG00000243480	AMY2A	YJL216C		11.9374	10.4991	0
ENSG00000158882	TOMM40L	YMR203W	TOM40	25.974	20.6718	0
ENSG00000237763	AMY1A	YJL221C	IMA4	12.7202	11.0357	0
ENSG00000237763	AMY1A	YIL172C		12.7202	11.0357	0
ENSG00000237763	AMY1A	YOL157C		12.7202	11.0357	0
ENSG00000237763	AMY1A	YGR287C		12.3288	10.6961	0
ENSG00000237763	AMY1A	YGR292W	MAL12	12.7202	11.1301	0
ENSG00000237763	AMY1A	YBR299W	MAL32	12.7202	11.1301	0
ENSG00000237763	AMY1A	YJL216C		11.7417	10.327	0
ENSG00000163468	CCT3	YJL014W	CCT3	57.0642	58.2397	1
ENSG00000120805	ARL1	YBR164C	ARL1	64.0884	63.388	1
ENSG00000115687	PASK	YOL045W		13.5338	16.3488	0
ENSG00000115687	PASK	YAL017W	PSK1	14.5113	14.233	0
ENSG00000117594	HSD11B1	YIR036C		21.2329	23.5741	0
ENSG00000117594	HSD11B1	YIR035C		18.4932	21.2598	0
ENSG00000117594	HSD11B1	YMR226C	YMR226C	16.7808	18.3521	0
ENSG00000117594	HSD11B1	YKL055C		18.4932	19.4245	0
ENSG00000188419	CHM	YOR370C	MRS6	19.9081	21.5589	0
ENSG00000174876	AMY1B	YJL221C	IMA4	12.7202	11.0357	0
ENSG00000174876	AMY1B	YIL172C		12.7202	11.0357	0
ENSG00000174876	AMY1B	YOL157C		12.7202	11.0357	0
ENSG00000174876	AMY1B	YGR287C		12.3288	10.6961	0
ENSG00000174876	AMY1B	YGR292W	MAL12	12.7202	11.1301	0
ENSG00000174876	AMY1B	YBR299W	MAL32	12.7202	11.1301	0
ENSG00000174876	AMY1B	YJL216C		11.7417	10.327	0
ENSG00000111199	TRPV4	YOR087W	YVC1	13.4328	17.3333	0
ENSG00000117593	DARS2	YPL104W	MSD1	34.8837	34.1945	1
ENSG00000181381	DDX60L	YGL251C	HFM1	6.97538	10.0253	0
ENSG00000181381	DDX60L	YER172C	BRR2	9.1442	7.21221	0
ENSG00000111669	TPI1	YDR050C		45.1049	52.0161	1
ENSG00000117597	UTP25	YIL091C		28.9683	30.3745	1
ENSG00000111674	ENO2	YPL281C		59.2166	58.8101	1
ENSG00000111674	ENO2	YOR393W		59.2166	58.8101	1
ENSG00000111674	ENO2	YHR174W	ENO2	60.8295	60.4119	1
ENSG00000111674	ENO2	YGR254W	ENO1	62.4424	62.0137	1
ENSG00000111674	ENO2	YMR323W		58.9862	58.5812	1
ENSG00000196290	NIF3L1	YGL221C		23.8727	31.25	0
ENSG00000138381	ASNSD1	YML096W		21.7729	26.6667	0
ENSG00000286165	AC012488.2	YML096W		21.1382	9.90476	0
ENSG00000119285	HEATR1	YJL109C		9.32836	11.3058	0
ENSG00000128694	OSGEPL1	YDL104C		29.4686	29.9754	1
ENSG00000115942	ORC2	YBR060C	ORC2	18.7175	17.4194	0
ENSG00000187733	AMY1C	YJL221C	IMA4	12.7202	11.0357	0
ENSG00000187733	AMY1C	YIL172C		12.7202	11.0357	0
ENSG00000187733	AMY1C	YOL157C		12.7202	11.0357	0
ENSG00000187733	AMY1C	YGR287C		12.3288	10.6961	0
ENSG00000187733	AMY1C	YGR292W	MAL12	12.7202	11.1301	0
ENSG00000187733	AMY1C	YBR299W	MAL32	12.7202	11.1301	0
ENSG00000187733	AMY1C	YJL216C		11.7417	10.327	0
ENSG00000054392	HHAT	YGL084C		17.8138	15.7143	0
ENSG00000054392	HHAT	YPL189W		18.2186	14.7783	0
ENSG00000107581	EIF3A	YBR079C	RPG1	19.3922	27.8008	0
ENSG00000163249	CCNYL1	YNL257C		25.0696	7.32303	0
ENSG00000163249	CCNYL1	YHR155W		26.7409	7.81759	0
ENSG00000169174	PCSK9	YNL238W	KEX2	12.2832	10.4423	0
ENSG00000169174	PCSK9	YOR003W		17.7746	25.7322	0
ENSG00000169174	PCSK9	YEL060C	PRB1	20.6647	22.5197	0
ENSG00000128699	ORMDL1	YGR038W		33.9869	23.4234	0
ENSG00000128699	ORMDL1	YLR350W		33.9869	24.0741	0
ENSG00000101210	EEF1A2	YER025W	GCD11	14.9028	13.093	0
ENSG00000138430	OLA1	YHL014C	YLF2	32.8283	32.0988	0
ENSG00000138430	OLA1	YBR025C		41.1616	41.3706	0
ENSG00000139726	DENR	YJR014W	TMA22	28.7879	28.7879	1
ENSG00000183856	IQGAP3	YPL242C	IQG1	19.9264	21.7391	0
ENSG00000273398	AC017083.3	YKL190W	CNB1	27.4924	52	1
ENSG00000115946	PNO1	YOR145C	PNO1	46.8254	43.0657	1
ENSG00000221823	PPP3R1	YKL190W	CNB1	56.4706	54.8571	1
ENSG00000163382	NAXE	YNL200C		35.7639	41.8699	1
ENSG00000116711	PLA2G4A	YOL011W		13.2176	14.4315	0
ENSG00000116711	PLA2G4A	YNL012W		16.0214	19.0174	0
ENSG00000116711	PLA2G4A	YMR008C		13.8852	15.6627	0
ENSG00000116711	PLA2G4A	YMR006C		13.8852	14.7309	0
ENSG00000130787	HIP1R	YNL243W	SLA2	20.9738	23.1405	0
ENSG00000143252	SDHC	YMR118C		23.6686	20.4082	0
ENSG00000143252	SDHC	YKL141W	SDH3	26.6272	22.7273	0
ENSG00000104951	IL4I1	YMR020W		17.4873	20.2756	0
