DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2012-03-10	22293688	Huang J	2012-02-01	Eur J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/22293688	1000 Genomes-based imputation identifies novel and refined associations for the Wellcome Trust Case Control Consortium phase 1 Data.	Type 2 diabetes	16,179 European ancestry individuals	NA	9p21.3	9	22137686	CDKN2B	CDKN2B-AS1 - AL157937.1	ENSG00000240498	ENSG00000236921		16589	66304	rs7018475-?	rs7018475	0	7018475	regulatory_region_variant	1	NR	3E-8	7.522878745280337		1.35	[1.18-1.56]	NR [6233112] (imputed)	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001397	Genome-wide genotyping array
2013-08-23	23575436	Go MJ	2013-04-11	J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23575436	New susceptibility loci in MYL2, C12orf51 and OAS1 associated with 1-h plasma glucose as predisposing risk factors for type 2 diabetes in the Korean population.	Glycemic traits	7,696 Korean ancestry individuals	6,536 Korean ancestry individuals	7p13	7	44189469	GCK	GCK			ENSG00000106633			rs1799884-A	rs1799884	0	1799884	intron_variant	0		5E-18	17.30102999566398	(FPG)	0.063	[0.049-0.077] mmol-1 increase	Affymetrix [357789]	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001965	Genome-wide genotyping array
2013-08-23	23575436	Go MJ	2013-04-11	J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23575436	New susceptibility loci in MYL2, C12orf51 and OAS1 associated with 1-h plasma glucose as predisposing risk factors for type 2 diabetes in the Korean population.	Glycemic traits	7,696 Korean ancestry individuals	6,536 Korean ancestry individuals	11q14.3	11	92965261	MTNR1B	SNRPGP16 - AP003171.1	ENSG00000255287	ENSG00000254874		27595	536	rs10830962-C	rs10830962	0	10830962	intergenic_variant	1		5E-13	12.301029995663981	(FPG)	0.041	[0.029-0.053] mmol-1 increase	Affymetrix [357789]	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001965	Genome-wide genotyping array
2013-08-23	23575436	Go MJ	2013-04-11	J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23575436	New susceptibility loci in MYL2, C12orf51 and OAS1 associated with 1-h plasma glucose as predisposing risk factors for type 2 diabetes in the Korean population.	Glycemic traits	7,696 Korean ancestry individuals	6,536 Korean ancestry individuals	12q24.13	12	112207597	C12orf51	HECTD4			ENSG00000173064			rs2074356-T	rs2074356	0	2074356	intron_variant	0		6E-14	13.221848749616356	(FPG)	0.061	[0.045-0.077] mmol-1 decrease	Affymetrix [357789]	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001965	Genome-wide genotyping array
2013-08-23	23575436	Go MJ	2013-04-11	J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23575436	New susceptibility loci in MYL2, C12orf51 and OAS1 associated with 1-h plasma glucose as predisposing risk factors for type 2 diabetes in the Korean population.	Glycemic traits	7,696 Korean ancestry individuals	6,536 Korean ancestry individuals	6p22.3	6	20641105	CDKAL1	CDKAL1			ENSG00000145996			rs9348440-A	rs9348440	0	9348440	intron_variant	0		3E-19	18.522878745280337	(1-hPG)	0.246	[0.19-0.30] mmol-1 increase	Affymetrix [357789]	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001965	Genome-wide genotyping array
2013-08-23	23575436	Go MJ	2013-04-11	J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23575436	New susceptibility loci in MYL2, C12orf51 and OAS1 associated with 1-h plasma glucose as predisposing risk factors for type 2 diabetes in the Korean population.	Glycemic traits	7,696 Korean ancestry individuals	6,536 Korean ancestry individuals	7p13	7	44189469	GCK	GCK			ENSG00000106633			rs1799884-A	rs1799884	0	1799884	intron_variant	0		3E-9	8.522878745280337	(1-hPG)	0.208	[0.14-0.28] mmol-1 increase	Affymetrix [357789]	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001965	Genome-wide genotyping array
2013-08-23	23575436	Go MJ	2013-04-11	J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23575436	New susceptibility loci in MYL2, C12orf51 and OAS1 associated with 1-h plasma glucose as predisposing risk factors for type 2 diabetes in the Korean population.	Glycemic traits	7,696 Korean ancestry individuals	6,536 Korean ancestry individuals	11q14.3	11	92965261	MTNR1B	SNRPGP16 - AP003171.1	ENSG00000255287	ENSG00000254874		27595	536	rs10830962-C	rs10830962	0	10830962	intergenic_variant	1		3E-12	11.522878745280337	(1-hPG)	0.191	[0.14-0.24] mmol-1 increase	Affymetrix [357789]	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001965	Genome-wide genotyping array
2013-08-23	23575436	Go MJ	2013-04-11	J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23575436	New susceptibility loci in MYL2, C12orf51 and OAS1 associated with 1-h plasma glucose as predisposing risk factors for type 2 diabetes in the Korean population.	Glycemic traits	7,696 Korean ancestry individuals	6,536 Korean ancestry individuals	12q24.11	12	110976657	MYL2	LINC01405 - CUX2	ENSG00000185847	ENSG00000111249		18449	57367	rs12229654-G	rs12229654	0	12229654	intergenic_variant	1		9E-13	12.045757490560675	(1-hPG)	0.277	[0.20-0.35] mmol-1 decrease	Affymetrix [357789]	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001965	Genome-wide genotyping array
2013-08-23	23575436	Go MJ	2013-04-11	J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23575436	New susceptibility loci in MYL2, C12orf51 and OAS1 associated with 1-h plasma glucose as predisposing risk factors for type 2 diabetes in the Korean population.	Glycemic traits	7,696 Korean ancestry individuals	6,536 Korean ancestry individuals	12q24.13	12	112207597	C12orf51	HECTD4			ENSG00000173064			rs2074356-T	rs2074356	0	2074356	intron_variant	0		1E-16	16.0	(1-hPG)	0.321	[0.24-0.40] mmol-1 decrease	Affymetrix [357789]	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001965	Genome-wide genotyping array
2013-08-23	23575436	Go MJ	2013-04-11	J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23575436	New susceptibility loci in MYL2, C12orf51 and OAS1 associated with 1-h plasma glucose as predisposing risk factors for type 2 diabetes in the Korean population.	Glycemic traits	7,696 Korean ancestry individuals	6,536 Korean ancestry individuals	12q24.13	12	112927816	OAS1	OAS1, AC004551.1			ENSG00000089127, ENSG00000257452			rs11066453-G	rs11066453	0	11066453	intron_variant	0		5E-9	8.301029995663981	(1-hPG)	0.242	[0.16-0.32] mmol-1 decrease	Affymetrix [357789]	N	type II diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001360	GCST001965	Genome-wide genotyping array
