DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	2q37.2	2	234706553	ARL4C	LINC01173			ENSG00000280744			rs6736997-A	rs6736997	0	6736997	intron_variant	0	0.33	6E-6	5.221848749616356	(recessive)	1.57	[1.29-1.91]	Illumina [420236]	N	pancreatic carcinoma	http://www.ebi.ac.uk/efo/EFO_0002618	GCST000745	Genome-wide genotyping array
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	7q36.2	7	153928758	DPP6	DPP6			ENSG00000130226			rs6464375-A	rs6464375	0	6464375	intron_variant	0	0.10	4E-7	6.3979400086720375	(recessive)	3.73	[2.24-6.21]	Illumina [420236]	N	pancreatic carcinoma	http://www.ebi.ac.uk/efo/EFO_0002618	GCST000745	Genome-wide genotyping array
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	8q24.13	8	123753462	FAM91A1	ANXA13 - FAM91A1	ENSG00000104537	ENSG00000176853		16055	14994	rs10088262-A	rs10088262	0	10088262	intergenic_variant	1	0.34	4E-6	5.3979400086720375	(dominant)	1.4	[1.21-1.61]	Illumina [420236]	N	pancreatic carcinoma	http://www.ebi.ac.uk/efo/EFO_0002618	GCST000745	Genome-wide genotyping array
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	6p25.3	6	1339954	FOXQ1	LINC01394 - AL034346.1	ENSG00000281809	ENSG00000261730		15932	43836	rs9502893-G	rs9502893	0	9502893	intergenic_variant	1	0.35	3E-7	6.522878745280337	(allelic)	1.29	[1.17-1.43]	Illumina [420236]	N	pancreatic carcinoma	http://www.ebi.ac.uk/efo/EFO_0002618	GCST000745	Genome-wide genotyping array
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	2q12.1	2	104762499	LOC284998	LINC01114 - HMGB3P11	ENSG00000234177	ENSG00000213301		4780	8783	rs12615966-A	rs12615966	0	12615966	intergenic_variant	1	0.10	7E-6	5.154901959985743	(recessive)	3.15	[1.91-5.21]	Illumina [420236]	N	pancreatic carcinoma	http://www.ebi.ac.uk/efo/EFO_0002618	GCST000745	Genome-wide genotyping array
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	13q21.32	13	65907683	LOC387933	LINC01052 - MIR548X2	ENSG00000234767	ENSG00000263581		29464	58647	rs1585440-C	rs1585440	0	1585440	intergenic_variant	1	0.71	9E-6	5.045757490560675	(allelic)	1.3	[1.16-1.45]	Illumina [420236]	N	pancreatic carcinoma	http://www.ebi.ac.uk/efo/EFO_0002618	GCST000745	Genome-wide genotyping array
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	13q22.1	13	73357977	LOC730242	RNY1P8 - AL162376.1	ENSG00000206697	ENSG00000279754		130717	41054	rs1886449-A	rs1886449	0	1886449	intergenic_variant	1	0.38	9E-6	5.045757490560675	(recessive)	1.51	[1.26-1.80]	Illumina [420236]	N	pancreatic carcinoma	http://www.ebi.ac.uk/efo/EFO_0002618	GCST000745	Genome-wide genotyping array
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	5p15.33	5	2109787	LOC731559	AC126768.3 - RF00019	ENSG00000249731	ENSG00000200572		140774	74923	rs6879627-G	rs6879627	0	6879627	regulatory_region_variant	1	0.52	8E-6	5.096910013008056	(allelic)	1.25	[1.14-1.39]	Illumina [420236]	N	pancreatic carcinoma	http://www.ebi.ac.uk/efo/EFO_0002618	GCST000745	Genome-wide genotyping array
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	17q11.2	17	32550640	MYO1D	MYO1D			ENSG00000176658			rs225190-G	rs225190	0	225190	intron_variant	0	0.36	6E-6	5.221848749616356	(allelic)	1.26	[1.14-1.39]	Illumina [420236]	N	pancreatic carcinoma	http://www.ebi.ac.uk/efo/EFO_0002618	GCST000745	Genome-wide genotyping array
2010-09-10	20686608	Low SK	2010-07-29	PLoS One	www.ncbi.nlm.nih.gov/pubmed/20686608	Genome-wide association study of pancreatic cancer in Japanese population.	Pancreatic cancer	991 Japanese ancestry cases, 5,209 Japanese ancestry controls	NA	13q31.1	13	79725587	NDFIP2	AL136442.1 - LINC01038	ENSG00000285902	ENSG00000229011		58243	78831	rs2039553-A	rs2039553	0	2039553	regulatory_region_variant	1	0.27	7E-6	5.154901959985743	(recessive)	1.73	[1.36-2.19]	Illumina [420236]	N	pancreatic carcinoma	http://www.ebi.ac.uk/efo/EFO_0002618	GCST000745	Genome-wide genotyping array
