yeast_id,ID,yeast_name,human_name
YAL060W,ENSG00000196616,BDH1,ADH1B
YDR011W,ENSG00000118777,SNQ2,ABCG2
YER073W,ENSG00000128918,ALD5,ALDH1A2
YGL158W,ENSG00000130413,RCK1,STK33
YGL158W,ENSG00000145349,RCK1,CAMK2D
YGL158W,ENSG00000133083,RCK1,DCLK1
YLR248W,ENSG00000130413,RCK2,STK33
YLR248W,ENSG00000133083,RCK2,DCLK1
YLR248W,ENSG00000145349,RCK2,CAMK2D
YML032C,ENSG00000002016,RAD52,RAD52
YML123C,ENSG00000157703,PHO84,SVOPL
YOR153W,ENSG00000118777,PDR5,ABCG2
YOR316C,ENSG00000164756,COT1,SLC30A8
YOR374W,ENSG00000128918,ALD4,ALDH1A2
YPL061W,ENSG00000128918,ALD6,ALDH1A2
