DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2009-09-28	17903306	Newton-Cheh C	2007-09-19	BMC Med Genet	www.ncbi.nlm.nih.gov/pubmed/17903306	Genome-wide association study of electrocardiographic and heart rate variability traits: the Framingham Heart Study.	Electrocardiographic traits	1,951 European ancestry individuals from 355 families	NA	2q22.1	2	136218685	intergenic	HNRNPKP2 - AC112255.1	ENSG00000227347	ENSG00000279024		18182	12068	rs882300-?	rs882300	0	882300	intergenic_variant	1	NR	3E-7	6.522878745280337	(PR interval)			Affymetrix [70897]	N	electrocardiography, PR interval	http://www.ebi.ac.uk/efo/EFO_0004327, http://www.ebi.ac.uk/efo/EFO_0004462	GCST000111	Genome-wide genotyping array
2017-12-20	29127183	Seyerle AA	2017-11-10	Heart	www.ncbi.nlm.nih.gov/pubmed/29127183	Genome-wide association study of PR interval in Hispanics/Latinos identifies novel locus at ID2.	PR interval	14,756 Hispanic individuals	4,296 European ancestry individuals, 3,763 African American individuals, 6,805 East Asian ancestry individuals	2p25.1	2	8616053	ID2	AC011747.1			ENSG00000231083			rs6730558-T	rs6730558	0	6730558	intron_variant	0	0.49	3E-8	7.522878745280337	(Hispanic)	1.36	[0.87-1.85] ms increase	Affymetrix, Illumina [18828993] (imputed)	N	PR interval	http://www.ebi.ac.uk/efo/EFO_0004462	GCST005080	Genome-wide genotyping array
2017-12-20	29127183	Seyerle AA	2017-11-10	Heart	www.ncbi.nlm.nih.gov/pubmed/29127183	Genome-wide association study of PR interval in Hispanics/Latinos identifies novel locus at ID2.	PR interval	14,756 Hispanic individuals	4,296 European ancestry individuals, 3,763 African American individuals, 6,805 East Asian ancestry individuals	2p22.1	2	40530430	SLC8A1	SLC8A1			ENSG00000183023			rs17026148-A	rs17026148	0	17026148	intron_variant	0	0.17	2E-9	8.698970004336019	(Hispanic)	1.98	[1.33-2.63] ms increase	Affymetrix, Illumina [18828993] (imputed)	N	PR interval	http://www.ebi.ac.uk/efo/EFO_0004462	GCST005080	Genome-wide genotyping array
2017-12-20	29127183	Seyerle AA	2017-11-10	Heart	www.ncbi.nlm.nih.gov/pubmed/29127183	Genome-wide association study of PR interval in Hispanics/Latinos identifies novel locus at ID2.	PR interval	14,756 Hispanic individuals	4,296 European ancestry individuals, 3,763 African American individuals, 6,805 East Asian ancestry individuals	3p22.2	3	38582762	SCN5A	SCN5A			ENSG00000183873			rs3922844-T	rs3922844	0	3922844	intron_variant	0	0.37	4E-41	40.39794000867204	(Hispanic)	3.39	[2.9-3.88] ms decrease	Affymetrix, Illumina [18828993] (imputed)	N	PR interval	http://www.ebi.ac.uk/efo/EFO_0004462	GCST005080	Genome-wide genotyping array
2017-12-20	29127183	Seyerle AA	2017-11-10	Heart	www.ncbi.nlm.nih.gov/pubmed/29127183	Genome-wide association study of PR interval in Hispanics/Latinos identifies novel locus at ID2.	PR interval	14,756 Hispanic individuals	4,296 European ancestry individuals, 3,763 African American individuals, 6,805 East Asian ancestry individuals	3p22.2	3	38725824	SCN10A	SCN10A			ENSG00000185313			rs6801957-T	rs6801957	0	6801957	intron_variant	0	0.38	1E-55	55.0	(Hispanic)	3.9	[3.41-4.39] ms increase	Affymetrix, Illumina [18828993] (imputed)	N	PR interval	http://www.ebi.ac.uk/efo/EFO_0004462	GCST005080	Genome-wide genotyping array
2017-12-20	29127183	Seyerle AA	2017-11-10	Heart	www.ncbi.nlm.nih.gov/pubmed/29127183	Genome-wide association study of PR interval in Hispanics/Latinos identifies novel locus at ID2.	PR interval	14,756 Hispanic individuals	4,296 European ancestry individuals, 3,763 African American individuals, 6,805 East Asian ancestry individuals	4q21.23	4	85778573	ARHGAP24	ARHGAP24			ENSG00000138639			rs13105921-A	rs13105921	0	13105921	intron_variant	0	0.41	6E-11	10.221848749616356	(Hispanic)	1.76	[1.23-2.29] ms increase	Affymetrix, Illumina [18828993] (imputed)	N	PR interval	http://www.ebi.ac.uk/efo/EFO_0004462	GCST005080	Genome-wide genotyping array
2017-12-20	29127183	Seyerle AA	2017-11-10	Heart	www.ncbi.nlm.nih.gov/pubmed/29127183	Genome-wide association study of PR interval in Hispanics/Latinos identifies novel locus at ID2.	PR interval	14,756 Hispanic individuals	4,296 European ancestry individuals, 3,763 African American individuals, 6,805 East Asian ancestry individuals	7q31.2	7	116546187	CAV1, CAV2	CAV1, AC006159.1			ENSG00000105974, ENSG00000235427			rs3807989-A	rs3807989	0	3807989	intron_variant	0	0.41	2E-18	17.69897000433602	(Hispanic)	2.18	[1.69-2.67] ms increase	Affymetrix, Illumina [18828993] (imputed)	N	PR interval	http://www.ebi.ac.uk/efo/EFO_0004462	GCST005080	Genome-wide genotyping array
2017-12-20	29127183	Seyerle AA	2017-11-10	Heart	www.ncbi.nlm.nih.gov/pubmed/29127183	Genome-wide association study of PR interval in Hispanics/Latinos identifies novel locus at ID2.	PR interval	14,756 Hispanic individuals	4,296 European ancestry individuals, 3,763 African American individuals, 6,805 East Asian ancestry individuals	12p12.1	12	24623865	SOX5	KNOP1P1 - AC087312.1	ENSG00000256852	ENSG00000244662		39316	18822	rs146974314-A	rs146974314	1	12826024	intergenic_variant	1	0.14	9E-15	14.045757490560675	(Hispanic)	2.66	[1.97-3.35] ms decrease	Affymetrix, Illumina [18828993] (imputed)	N	PR interval	http://www.ebi.ac.uk/efo/EFO_0004462	GCST005080	Genome-wide genotyping array
2017-12-20	29127183	Seyerle AA	2017-11-10	Heart	www.ncbi.nlm.nih.gov/pubmed/29127183	Genome-wide association study of PR interval in Hispanics/Latinos identifies novel locus at ID2.	PR interval	14,756 Hispanic individuals	4,296 European ancestry individuals, 3,763 African American individuals, 6,805 East Asian ancestry individuals	3p22.2	3	38584218	SCN5A	SCN5A			ENSG00000183873			rs7374004-A	rs7374004	0	7374004	intron_variant	0	0.65	3E-19	18.522878745280337	(conditioned on rs3922844 and rs6801957)	2.66	[2.07-3.25] ms increase	Affymetrix, Illumina [18828993] (imputed)	N	PR interval	http://www.ebi.ac.uk/efo/EFO_0004462	GCST005080	Genome-wide genotyping array
2017-12-20	29127183	Seyerle AA	2017-11-10	Heart	www.ncbi.nlm.nih.gov/pubmed/29127183	Genome-wide association study of PR interval in Hispanics/Latinos identifies novel locus at ID2.	PR interval	14,756 Hispanic individuals	4,296 European ancestry individuals, 3,763 African American individuals, 6,805 East Asian ancestry individuals	3p22.2	3	38630069	SCN5A	SCN5A			ENSG00000183873			rs45567533-A	rs45567533	0	45567533	non_coding_transcript_exon_variant	0	0.87	1E-11	11.0	(conditioned on rs3922844,  rs6801957 and rs7374004)	2.49	[1.76-3.22] ms decrease	Affymetrix, Illumina [18828993] (imputed)	N	PR interval	http://www.ebi.ac.uk/efo/EFO_0004462	GCST005080	Genome-wide genotyping array
