yeast_id,ID,yeast_name,human_name
YBL020W,ENSG00000163933,RFT1,RFT1
YBL020W,ENSG00000272305,RFT1,NA
YCR005C,ENSG00000062485,CIT2,CS
YDR283C,ENSG00000172071,GCN2,EIF2AK3
YDR440W,ENSG00000104885,DOT1,DOT1L
YGL158W,ENSG00000133083,RCK1,DCLK1
YGL190C,ENSG00000221914,CDC55,PPP2R2A
YHR016C,ENSG00000035115,YSC84,SH3YL1
YJR073C,ENSG00000133027,OPI3,PEMT
YLR210W,ENSG00000285901,CLB4,NA
YLR210W,ENSG00000118971,CLB4,CCND2
YLR248W,ENSG00000133083,RCK2,DCLK1
YLR403W,ENSG00000153814,SFP1,JAZF1
YML016C,ENSG00000172531,PPZ1,PPP1CA
YOR090C,ENSG00000285542,PTC5,NA
YOR231W,ENSG00000198909,MKK1,MAP3K3
YOR231W,ENSG00000126934,MKK1,MAP2K2
