yeast_id,ID,yeast_name,human_name
YBR241C,ENSG00000163581,NA,SLC2A2
YDL078C,ENSG00000285854,MDH3,NA
YDR345C,ENSG00000163581,HXT3,SLC2A2
YGL158W,ENSG00000148660,RCK1,CAMK2G
YHR094C,ENSG00000163581,HXT1,SLC2A2
YHR096C,ENSG00000163581,HXT5,SLC2A2
YHR132C,ENSG00000165078,ECM14,CPA6
YIL097W,ENSG00000090316,FYV10,MAEA
YLR210W,ENSG00000118971,CLB4,CCND2
YLR210W,ENSG00000285901,CLB4,NA
YLR248W,ENSG00000148660,RCK2,CAMK2G
YLR403W,ENSG00000153814,SFP1,JAZF1
YMR011W,ENSG00000163581,HXT2,SLC2A2
YOL156W,ENSG00000163581,HXT11,SLC2A2
YOR316C,ENSG00000164756,COT1,SLC30A8
YPL111W,ENSG00000118520,CAR1,ARG1
