Gene stable ID	Gene name	Human gene stable ID	Human gene name	%id. target Human gene identical to query gene	%id. query gene identical to target Human gene	Human orthology confidence [0 low, 1 high]
YBR024W		ENSG00000130489	SCO2	25.9136	29.3233	1
YBR024W		ENSG00000133028	SCO1	28.2392	28.2392	1
YBR024W		ENSG00000284194	SCO2	25.9136	29.3233	1
YDL245C		ENSG00000109667	SLC2A9	20.9877	22.037	0
YDL245C		ENSG00000197241	SLC2A7	20.4586	22.6562	0
YDL245C		ENSG00000059804	SLC2A3	22.575	25.8065	0
YDL245C		ENSG00000173262	SLC2A14	22.2222	23.5514	0
YDL245C		ENSG00000163581	SLC2A2	22.2222	24.0458	0
YDL245C		ENSG00000142583	SLC2A5	22.2222	25.1497	0
YDL245C		ENSG00000117394	SLC2A1	21.6931	25	0
YDL245C		ENSG00000146411	SLC2A12	19.7531	18.1523	0
YDL245C		ENSG00000181856	SLC2A4	22.7513	25.3438	0
YDL245C		ENSG00000133460	SLC2A11	16.9312	17.9439	0
YDL245C		ENSG00000251357	AP000350.4	7.23104	19.6172	0
YDL245C		ENSG00000197496	SLC2A10	17.6367	18.4843	0
YDL245C		ENSG00000160326	SLC2A6	19.0476	21.3018	0
YDL245C		ENSG00000136856	SLC2A8	19.4004	23.0608	0
YPR031W		ENSG00000275023	MLLT6	15.3743	10.5215	0
YPR031W		ENSG00000102221	JADE3	20.0535	18.226	0
YPR031W		ENSG00000100425	BRD1	26.4706	16.6526	0
YPR031W		ENSG00000156983	BRPF1	26.0695	15.9836	0
YPR031W		ENSG00000106443	PHF14	15.3743	12.9505	0
YPR031W		ENSG00000078403	MLLT10	14.7059	10.2996	0
YPR031W		ENSG00000043143	JADE2	20.0535	17.9856	0
YPR031W		ENSG00000096070	BRPF3	25.8021	16.0166	0
YPR031W		ENSG00000077684	JADE1	20.8556	18.5273	0
YBR140C	IRA1	ENSG00000105808	RASA4	5.85382	22.5405	0
YBR140C	IRA1	ENSG00000270249	AC093668.1	1.45537	16.3043	0
YBR140C	IRA1	ENSG00000170667	RASA4B	5.5304	22.5892	0
YBR140C	IRA1	ENSG00000075391	RASAL2	8.5705	20.7031	0
YBR140C	IRA1	ENSG00000136848	DAB2IP	7.79431	21.2898	0
YBR140C	IRA1	ENSG00000145715	RASA1	4.72186	13.9446	0
YBR140C	IRA1	ENSG00000111344	RASAL1	6.04787	23.201	0
YBR140C	IRA1	ENSG00000155903	RASA2	5.88616	21.437	0
YBR140C	IRA1	ENSG00000185989	RASA3	5.43338	20.1439	0
YBR140C	IRA1	ENSG00000197283	SYNGAP1	7.72962	17.796	0
YBR140C	IRA1	ENSG00000105122	RASAL3	6.04787	18.4965	0
YKL029C		ENSG00000082212	ME2	31.988	36.6438	1
YKL029C		ENSG00000065833	ME1	33.0344	38.6364	1
YKL029C		ENSG00000151376	ME3	31.6891	35.0993	1
YPL028W	ERG10	ENSG00000075239	ACAT1	48.4925	45.1991	1
YMR121C	RPL15B	ENSG00000174748	RPL15	71.0784	71.0784	1
YDR337W		ENSG00000116898	MRPS15	16.7832	18.677	0
YKL008C	LAC1	ENSG00000172292	CERS6	21.0526	22.449	0
YKL008C	LAC1	ENSG00000143418	CERS2	19.6172	21.5789	0
YKL008C	LAC1	ENSG00000154227	CERS3	18.6603	20.3655	0
YKL008C	LAC1	ENSG00000139624	CERS5	22.488	23.9796	0
YKL008C	LAC1	ENSG00000090661	CERS4	18.6603	19.797	0
YFR004W	RPN11	ENSG00000115233	PSMD14	66.3399	65.4839	1
YDR108W	TRS85	ENSG00000153339	TRAPPC8	19.1977	9.33798	0
YDL200C	MGT1	ENSG00000170430	MGMT	26.0638	20.5882	0
YOR027W		ENSG00000149292	TTC12	8.9983	7.45429	0
YOR027W		ENSG00000025772	TOMM34	9.8472	18.7702	0
YBL101C	ECM21	ENSG00000197070	ARRDC1	7.69919	19.8614	0
YBL101C	ECM21	ENSG00000105643	ARRDC2	4.02865	11.0565	0
YBL101C	ECM21	ENSG00000140450	ARRDC4	4.2077	11.244	0
YBL101C	ECM21	ENSG00000113369	ARRDC3	4.29722	11.5942	0
YBL101C	ECM21	ENSG00000265972	TXNIP	3.8496	10.9974	0
YBL101C	ECM21	ENSG00000205784	ARRDC5	2.86482	9.35672	0
YLL040C	VPS13	ENSG00000197969	VPS13A	21.5649	21.3611	0
YLL040C	VPS13	ENSG00000129003	VPS13C	22.1692	18.5718	0
YLL040C	VPS13	ENSG00000048707	VPS13D	16.4122	11.7593	0
YLR216C	CPR6	ENSG00000171497	PPID	43.6658	43.7838	1
YBL058W	SHP1	ENSG00000173960	UBXN2A	17.2577	28.1853	0
YBL058W	SHP1	ENSG00000088833	NSFL1C	26.0047	29.5699	1
YBL058W	SHP1	ENSG00000158062	UBXN11	12.5296	10.1923	0
YBL058W	SHP1	ENSG00000215114	UBXN2B	21.7494	27.7946	0
YLR088W	GAA1	ENSG00000197858	GPAA1	26.0586	25.7649	1
YLR100W		ENSG00000132196	HSD17B7	20.7493	21.1144	0
YBR080C	SEC18	ENSG00000073969	NSF	43.2718	44.086	1
YNL219C		ENSG00000086848	ALG9	34.0541	30.5825	1
YNL219C		ENSG00000258529	AP001781.2	34.0541	22.3934	0
YOL062C	APM4	ENSG00000161203	AP2M1	30.5499	32.6087	1
YER087W		ENSG00000162396	PARS2	26.2153	31.7895	1
YFL009W		ENSG00000164049	FBXW12	4.87805	8.18966	0
YFL009W		ENSG00000215529	EFCAB8	10.6547	6.4441	0
YFL009W		ENSG00000187260	WDR86	9.49936	15.3527	0
YFL009W		ENSG00000166167	BTRC	14.3774	18.5124	0
YFL009W		ENSG00000162843	WDR64	9.37099	6.75301	0
YFL009W		ENSG00000005448	WDR54	5.39153	12.5749	0
YLL004W		ENSG00000135336	ORC3	17.8571	15.4494	0
YGL157W		ENSG00000088451	TGDS	13.2565	13.1429	0
YGL157W		ENSG00000115652	UXS1	10.6628	8.70588	0
YGL157W		ENSG00000099377	HSD3B7	11.8156	11.1111	0
YGL157W		ENSG00000184860	SDR42E1	12.6801	11.1959	0
YGL157W		ENSG00000183921	SDR42E2	12.3919	10.1896	0
YGL157W		ENSG00000112699	GMDS	10.3746	9.67742	0
YGL157W		ENSG00000104522	TSTA3	17.2911	18.6916	0
YGL157W		ENSG00000203859	HSD3B2	12.9683	12.0968	0
YGL157W		ENSG00000203857	HSD3B1	13.5447	12.6005	0
YGL232W		ENSG00000066654	THUMPD1	14.5329	11.898	0
YHR181W	SVP26	ENSG00000258881	AC007040.2	29.386	34.0102	1
YHR181W	SVP26	ENSG00000144043	TEX261	34.2105	39.7959	1
YIR005W	IST3	ENSG00000134597	RBMX2	45.2703	20.8075	0
YDL080C	THI3	ENSG00000105135	ILVBL	14.9425	14.3987	0
YEL044W		ENSG00000153391	INO80C	23.494	17.1053	0
YLR071C	RGR1	ENSG00000180182	MED14	16.5434	12.3109	0
YBL050W	SEC17	ENSG00000134265	NAPG	19.863	18.5897	0
YBL050W	SEC17	ENSG00000125814	NAPB	34.9315	33.7748	1
YBL050W	SEC17	ENSG00000105402	NAPA	35.274	34.9153	1
YHL001W	RPL14B	ENSG00000188846	RPL14	40.5797	26.0465	1
YJR042W	NUP85	ENSG00000125450	NUP85	13.172	14.939	0
YNL185C	MRPL19	ENSG00000174547	MRPL11	39.2405	32.2917	1
YKL145W	RPT1	ENSG00000161057	PSMC2	69.8073	75.2887	1
YLR160C	ASP3-4	ENSG00000166183	ASPG	1.10497	0.69808	0
YIL047C		ENSG00000143324	XPR1	18.2927	23.7069	0
YOR061W	CKA2	ENSG00000070770	CSNK2A2	57.5221	55.7143	1
YOR061W	CKA2	ENSG00000254598	CSNK2A3	57.2271	49.6164	1
YOR061W	CKA2	ENSG00000101266	CSNK2A1	57.5221	49.8721	1
YJL128C	PBS2	ENSG00000076984	MAP2K7	19.3114	29.6552	0
YML036W		ENSG00000144034	TPRKB	28.1768	23.8318	0
YCR105W	ADH7	ENSG00000108828	VAT1	18.0055	16.5394	0
YCR105W	ADH7	ENSG00000106853	PTGR1	17.1745	18.845	0
YCR105W	ADH7	ENSG00000140043	PTGR2	14.1274	14.5299	0
YCR105W	ADH7	ENSG00000258653	AC005520.1	10.8033	13.5889	0
YCR105W	ADH7	ENSG00000171724	VAT1L	16.0665	13.8425	0
YCR105W	ADH7	ENSG00000197894	ADH5	22.1607	21.3904	0
