DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2015-07-07	25281659	van der Valk RJ	2014-10-03	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/25281659	A novel common variant in DCST2 is associated with length in early life and height in adulthood.	Birth length	28,459 European ancestry individuals	16,145 European ancestry individuals, 280 Moroccan ancestry individuals, 284 Surinamese ancestry individuals, 319 Turkish ancestry individuals, 651 Chinese ancestry individuals	12q14.3	12	65958046	HMGA2	HMGA2			ENSG00000149948			rs1351394-T	rs1351394	0	1351394	3_prime_UTR_variant	0	0.498	7E-7	6.154901959985743		0.044	[0.026-0.062] unit increase	Affymetrix, Illumina [2201971] (imputed)	N	body height at birth	http://www.ebi.ac.uk/efo/EFO_0006784	GCST002644	Genome-wide genotyping array
2015-07-07	25281659	van der Valk RJ	2014-10-03	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/25281659	A novel common variant in DCST2 is associated with length in early life and height in adulthood.	Birth length	28,459 European ancestry individuals	16,145 European ancestry individuals, 280 Moroccan ancestry individuals, 284 Surinamese ancestry individuals, 319 Turkish ancestry individuals, 651 Chinese ancestry individuals	4p15.31	4	18031865	LCORL	LCORL - AC093871.1	ENSG00000178177	ENSG00000251048		9989	456197	rs6449353-T	rs6449353	0	6449353	intergenic_variant	1	0.141	1E-6	6.0		0.065	[0.040-0.090] unit increase	Affymetrix, Illumina [2201971] (imputed)	N	body height at birth	http://www.ebi.ac.uk/efo/EFO_0006784	GCST002644	Genome-wide genotyping array
2015-07-07	25281659	van der Valk RJ	2014-10-03	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/25281659	A novel common variant in DCST2 is associated with length in early life and height in adulthood.	Birth length	28,459 European ancestry individuals	16,145 European ancestry individuals, 280 Moroccan ancestry individuals, 284 Surinamese ancestry individuals, 319 Turkish ancestry individuals, 651 Chinese ancestry individuals	6q24.2	6	142476152	GPR126	ADGRG6 - AL359313.1	ENSG00000112414	ENSG00000236366		29886	50303	rs7763064-A	rs7763064	0	7763064	regulatory_region_variant	1	0.288	6E-6	5.221848749616356		0.044	[0.024-0.064] unit decrease	Affymetrix, Illumina [2201971] (imputed)	N	body height at birth	http://www.ebi.ac.uk/efo/EFO_0006784	GCST002644	Genome-wide genotyping array
2015-07-07	25281659	van der Valk RJ	2014-10-03	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/25281659	A novel common variant in DCST2 is associated with length in early life and height in adulthood.	Birth length	28,459 European ancestry individuals	16,145 European ancestry individuals, 280 Moroccan ancestry individuals, 284 Surinamese ancestry individuals, 319 Turkish ancestry individuals, 651 Chinese ancestry individuals	1q21.2	1	149920979	SF3B4	SV2A - SF3B4	ENSG00000159164	ENSG00000143368		3097	2338	rs11205277-A	rs11205277	0	11205277	intergenic_variant	1	0.373	8E-6	5.096910013008056		0.041	[0.023-0.059] unit decrease	Affymetrix, Illumina [2201971] (imputed)	N	body height at birth	http://www.ebi.ac.uk/efo/EFO_0006784	GCST002644	Genome-wide genotyping array
2015-07-07	25281659	van der Valk RJ	2014-10-03	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/25281659	A novel common variant in DCST2 is associated with length in early life and height in adulthood.	Birth length	28,459 European ancestry individuals	16,145 European ancestry individuals, 280 Moroccan ancestry individuals, 284 Surinamese ancestry individuals, 319 Turkish ancestry individuals, 651 Chinese ancestry individuals	1q21.3	1	155018913	DCST2	DCST2			ENSG00000163354			rs905938-C	rs905938	0	905938	intron_variant	0	0.24	2E-8	7.698970004336019		0.046	[0.030-0.062] unit increase	Affymetrix, Illumina [2201971] (imputed)	N	body height at birth	http://www.ebi.ac.uk/efo/EFO_0006784	GCST002644	Genome-wide genotyping array
2015-07-07	25281659	van der Valk RJ	2014-10-03	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/25281659	A novel common variant in DCST2 is associated with length in early life and height in adulthood.	Birth length	28,459 European ancestry individuals	16,145 European ancestry individuals, 280 Moroccan ancestry individuals, 284 Surinamese ancestry individuals, 319 Turkish ancestry individuals, 651 Chinese ancestry individuals	11p11.2	11	43554517	TTC17, HSD17B12	CTBP2P6 - AC068205.1	ENSG00000213697	ENSG00000283217		31253	1919	rs11037473-A	rs11037473	0	11037473	intergenic_variant	1	0.07	1E-6	6.0		0.069	[0.042-0.096] unit decrease	Affymetrix, Illumina [2201971] (imputed)	N	body height at birth	http://www.ebi.ac.uk/efo/EFO_0006784	GCST002644	Genome-wide genotyping array
2015-07-07	25281659	van der Valk RJ	2014-10-03	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/25281659	A novel common variant in DCST2 is associated with length in early life and height in adulthood.	Infant length	28,238 European ancestry individuals	NA	1p12	1	118321979	SPAG17	RNA5SP56 - PSMC1P12	ENSG00000222209	ENSG00000226126		57490	292354	rs7536458-G	rs7536458	0	7536458	intergenic_variant	1	0.25	1E-10	10.0		0.064	[0.044-0.084] unit decrease	Affymetrix, Illumina [2193675] (imputed)	N	infant body height	http://www.ebi.ac.uk/efo/EFO_0006785	GCST002646	Genome-wide genotyping array
2015-07-07	25281659	van der Valk RJ	2014-10-03	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/25281659	A novel common variant in DCST2 is associated with length in early life and height in adulthood.	Infant length	28,238 European ancestry individuals	NA	1q21.2	1	149934520	SF3B4	MTMR11			ENSG00000014914			rs11205303-C	rs11205303	0	11205303	missense_variant	0	0.34	2E-16	15.698970004336019		0.087	[0.065-0.109] unit increase	Affymetrix, Illumina [2193675] (imputed)	N	infant body height	http://www.ebi.ac.uk/efo/EFO_0006785	GCST002646	Genome-wide genotyping array
2015-07-07	25281659	van der Valk RJ	2014-10-03	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/25281659	A novel common variant in DCST2 is associated with length in early life and height in adulthood.	Infant length	28,238 European ancestry individuals	NA	4p15.31	4	18022498	LCORL	LCORL - AC093871.1	ENSG00000178177	ENSG00000251048		622	465564	rs1380294-T	rs1380294	0	1380294	TF_binding_site_variant	1	0.15	3E-14	13.522878745280337		0.108	[0.081-0.135] unit decrease	Affymetrix, Illumina [2193675] (imputed)	N	infant body height	http://www.ebi.ac.uk/efo/EFO_0006785	GCST002646	Genome-wide genotyping array
2015-07-07	25281659	van der Valk RJ	2014-10-03	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/25281659	A novel common variant in DCST2 is associated with length in early life and height in adulthood.	Infant length	28,238 European ancestry individuals	NA	4q31.21	4	144653692	HHIP	HHIP-AS1, AC098588.1, AC098588.2, HHIP			ENSG00000248890, ENSG00000285713, ENSG00000285783, ENSG00000164161			rs1812175-A	rs1812175	0	1812175	intron_variant	0	0.18	2E-9	8.698970004336019		0.068	[0.046-0.090] unit decrease	Affymetrix, Illumina [2193675] (imputed)	N	infant body height	http://www.ebi.ac.uk/efo/EFO_0006785	GCST002646	Genome-wide genotyping array
