yeast_name,yeast_id,human_name,human_id
VPS8,YAL002W,VPS8,ENSG00000156931
PSK1,YAL017W,PASK,ENSG00000115687
FUN30,YAL019W,SMARCAD1,ENSG00000163104
CCR4,YAL021C,ANGEL1,ENSG00000013523
CCR4,YAL021C,CNOT6,ENSG00000113300
CCR4,YAL021C,CNOT6L,ENSG00000138767
FUN26,YAL022C,SLC29A3,ENSG00000198246
FUN26,YAL022C,SLC29A4,ENSG00000164638
FUN26,YAL022C,SLC29A1,ENSG00000112759
FUN26,YAL022C,SLC29A2,ENSG00000174669
PMT2,YAL023C,POMT2,ENSG00000009830
PRP45,YAL032C,SNW1,ENSG00000100603
RBG1,YAL036C,DRG1,ENSG00000185721
CYC3,YAL039C,HCCS,ENSG00000004961
CDC24,YAL041W,KIAA1755,ENSG00000149633
CDC24,YAL041W,ARHGEF7,ENSG00000102606
CDC24,YAL041W,ARHGEF9,ENSG00000131089
CDC24,YAL041W,PLEKHG1,ENSG00000120278
CDC24,YAL041W,KALRN,ENSG00000160145
CDC24,YAL041W,ARHGEF25,ENSG00000240771
CDC24,YAL041W,TRIO,ENSG00000038382
CDC24,YAL041W,ARHGEF6,ENSG00000129675
CDC24,YAL041W,MCF2,ENSG00000101977
CDC24,YAL041W,SPATA13,ENSG00000182957
CDC24,YAL041W,VAV2,ENSG00000160293
CDC24,YAL041W,MCF2L2,ENSG00000053524
CDC24,YAL041W,TIAM2,ENSG00000146426
CDC24,YAL041W,VAV3,ENSG00000134215
CDC24,YAL041W,ARHGEF40,ENSG00000165801
CDC24,YAL041W,MCF2L,ENSG00000126217
CDC24,YAL041W,,ENSG00000273167
CDC24,YAL041W,TIAM1,ENSG00000156299
CDC24,YAL041W,PLEKHG4B,ENSG00000153404
CDC24,YAL041W,PLEKHG4,ENSG00000196155
CDC24,YAL041W,SESTD1,ENSG00000187231
CDC24,YAL041W,VAV1,ENSG00000141968
CDC24,YAL041W,PLEKHG2,ENSG00000090924
CDC24,YAL041W,PLEKHN1,ENSG00000187583
CDC24,YAL041W,ARHGEF4,ENSG00000136002
GCV3,YAL044C,,ENSG00000260643
GCV3,YAL044C,,ENSG00000284512
GCV3,YAL044C,GCSH,ENSG00000140905
AIM1,YAL046C,BOLA3,ENSG00000163170
ACS1,YAL054C,ACSM2B,ENSG00000066813
ACS1,YAL054C,ACSM6,ENSG00000173124
ACS1,YAL054C,ACSM2A,ENSG00000183747
BDH1,YAL060W,ADH7,ENSG00000196344
BDH1,YAL060W,ADH1B,ENSG00000196616
BDH1,YAL060W,ZADH2,ENSG00000180011
BDH1,YAL060W,ADH1A,ENSG00000187758
BDH1,YAL060W,VAT1,ENSG00000108828
BDH1,YAL060W,ADH4,ENSG00000198099
BDH1,YAL060W,,ENSG00000258653
BDH1,YAL060W,PTGR1,ENSG00000106853
BDH1,YAL060W,ADH6,ENSG00000172955
BDH1,YAL060W,TP53I3,ENSG00000115129
BDH1,YAL060W,VAT1L,ENSG00000171724
BDH1,YAL060W,ADH5,ENSG00000197894
BDH1,YAL060W,SORD,ENSG00000140263
BDH1,YAL060W,PTGR2,ENSG00000140043
BDH1,YAL060W,ADH1C,ENSG00000248144
BDH1,YAL060W,CRYZL1,ENSG00000205758
SWD1,YAR003W,RBBP5,ENSG00000117222
ADE1,YAR015W,PAICS,ENSG00000128050
KIN3,YAR018C,NEK2,ENSG00000117650
YAT1,YAR035W,CPT1C,ENSG00000169169
YAT1,YAR035W,CPT1B,ENSG00000205560
YAT1,YAR035W,CPT1A,ENSG00000110090
IMD1,YAR073W,GMPR2,ENSG00000100938
HTB2,YBL002W,H2BFWT,ENSG00000123569
HTB2,YBL002W,HIST1H2BA,ENSG00000146047
HTB2,YBL002W,,ENSG00000285480
HTB2,YBL002W,HIST1H2BO,ENSG00000274641
HTB2,YBL002W,H2BFM,ENSG00000101812
HTA2,YBL003C,HIST2H2AB,ENSG00000184270
HTA2,YBL003C,HIST2H2AC,ENSG00000184260
HTA2,YBL003C,H2AFJ,ENSG00000246705
UTP20,YBL004W,UTP20,ENSG00000120800
ALK2,YBL009W,IRAK1,ENSG00000184216
ALK2,YBL009W,IRAK3,ENSG00000090376
ALK2,YBL009W,IRAK2,ENSG00000134070
ALK2,YBL009W,HASPIN,ENSG00000177602
PEP1,YBL017C,SORCS2,ENSG00000184985
PEP1,YBL017C,SORL1,ENSG00000137642
PEP1,YBL017C,SORCS1,ENSG00000108018
PEP1,YBL017C,SORT1,ENSG00000134243
PEP1,YBL017C,SORCS3,ENSG00000156395
APN2,YBL019W,APEX1,ENSG00000100823
APN2,YBL019W,APEX2,ENSG00000169188
RFT1,YBL020W,RFT1,ENSG00000163933
RFT1,YBL020W,,ENSG00000272305
HAP3,YBL021C,FAM47E,ENSG00000189157
HAP3,YBL021C,NFYB,ENSG00000120837
HAP3,YBL021C,FAM47E-STBD1,ENSG00000272414
PIM1,YBL022C,LONP1,ENSG00000196365
PIM1,YBL022C,LONP2,ENSG00000102910
MCM2,YBL023C,MCM2,ENSG00000073111
LSM2,YBL026W,LSM2,ENSG00000204392
RPL19B,YBL027W,RPL19,ENSG00000108298
HEK2,YBL032W,HNRNPK,ENSG00000165119
NA,YBL036C,PLPBP,ENSG00000147471
EDE1,YBL047C,ITSN1,ENSG00000205726
EDE1,YBL047C,EHD3,ENSG00000013016
EDE1,YBL047C,REPS1,ENSG00000135597
EDE1,YBL047C,EHD2,ENSG00000024422
EDE1,YBL047C,ITSN2,ENSG00000198399
EDE1,YBL047C,EPS15,ENSG00000085832
NA,YBL055C,TATDN1,ENSG00000147687
SHP1,YBL058W,UBXN11,ENSG00000158062
SHP1,YBL058W,UBXN2A,ENSG00000173960
SHP1,YBL058W,NSFL1C,ENSG00000088833
SHP1,YBL058W,UBXN2B,ENSG00000215114
